Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
yogadork,yoga,2,yoga,2,2,"meditation,55,yoga,2"
YogaNews,yoga,3,yoga,3,2,"meditation,398,yoga,3"
CoraYoga,yoga,5,yoga,5,3,"meditation,38,buddhism,109,yoga,5"
Virtual_Yoga,yoga,4,yoga,4,2,"meditation,181,yoga,4"
Gaiam,yoga,7,yoga,7,3,"meditation,317,fitness,648,yoga,7"
yogarevelation,yoga,19,yoga,19,2,"meditation,198,yoga,19"
MyYogaOnline,yoga,6,yoga,6,2,"fitness,804,yoga,6"
IntegralYogaMag,yoga,22,yoga,22,1,"yoga,22"
Yoga_Journal,yoga,1,yoga,1,5,"running,947,meditation,10,magazine,365,fitness,146,yoga,1"
LAYOGAMAGAZINE,yoga,23,yoga,23,1,"yoga,23"
BobWeisenberg,yoga,16,yoga,16,2,"buddhism,600,yoga,16"
YogaBear,yoga,14,yoga,14,3,"meditation,196,cancer,323,yoga,14"
YogaUpdates,yoga,12,yoga,12,2,"fitness,976,yoga,12"
TaraStiles,yoga,9,yoga,9,3,"meditation,854,fitness,573,yoga,9"
YogaDirect,yoga,36,yoga,36,1,"yoga,36"
yogaweb,yoga,13,yoga,13,2,"meditation,220,yoga,13"
yogafinds,yoga,30,yoga,30,3,"meditation,397,fitness,258,yoga,30"
YogaTag,yoga,42,yoga,42,2,"fitness,357,yoga,42"
FlyingYogini,yoga,25,yoga,25,1,"yoga,25"
MandukaYoga,yoga,15,yoga,15,1,"yoga,15"
IntegralHack,yoga,78,yoga,78,2,"buddhism,400,yoga,78"
yogasanctuary,yoga,72,yoga,72,1,"yoga,72"
whollyyoga,yoga,31,yoga,31,2,"buddhism,920,yoga,31"
everythingyoga,yoga,18,yoga,18,3,"meditation,205,fitness,758,yoga,18"
lotuspad,yoga,41,yoga,41,2,"buddhism,893,yoga,41"
anusarafriend,yoga,8,yoga,8,2,"meditation,433,yoga,8"
innerspaceyoga,yoga,47,yoga,47,2,"buddhism,886,yoga,47"
unitedyogis,yoga,60,yoga,60,1,"yoga,60"
skyyogastudio,yoga,57,yoga,57,2,"fitness,433,yoga,57"
elephantjournal,yoga,10,yoga,10,6,"sustainability,82,religion,969,meditation,15,buddhism,14,ecology,284,yoga,10"
Yoga_Hive,yoga,58,meditation,46,2,"meditation,46,yoga,58"
KripaluCenter,yoga,20,yoga,20,2,"meditation,458,yoga,20"
bendyoga,yoga,71,yoga,71,1,"yoga,71"
yogadeals,yoga,52,yoga,52,1,"yoga,52"
YogaMamaUK,yoga,64,yoga,64,1,"yoga,64"
shareyoga,yoga,90,meditation,87,2,"meditation,87,yoga,90"
stillyoga,yoga,53,yoga,53,1,"yoga,53"
YogaVibes,yoga,48,yoga,48,2,"meditation,390,yoga,48"
rodney_yee,yoga,21,yoga,21,2,"meditation,404,yoga,21"
yogoer,yoga,65,yoga,65,2,"meditation,405,yoga,65"
OMyoga,yoga,27,yoga,27,2,"meditation,387,yoga,27"
premapadma,yoga,74,yoga,74,1,"yoga,74"
lululemon,yoga,11,yoga,11,6,"running,134,outdoors,913,shopping,151,fitness,38,fashion,476,yoga,11"
jennyonthelam,yoga,85,yoga,85,1,"yoga,85"
MitziConnell,yoga,63,yoga,63,2,"meditation,136,yoga,63"
FlorianYoga,yoga,109,yoga,109,1,"yoga,109"
CoreConnecting,yoga,39,yoga,39,1,"yoga,39"
faithhunteryoga,yoga,67,yoga,67,2,"exercise,705,yoga,67"
kathrynbudig,yoga,28,yoga,28,2,"exercise,704,yoga,28"
YJEVENTS,yoga,26,yoga,26,1,"yoga,26"
YoGeek,yoga,104,yoga,104,1,"yoga,104"
ShivaRea,yoga,24,yoga,24,2,"meditation,841,yoga,24"
YogaGlo,yoga,34,yoga,34,1,"yoga,34"
ViriamKaur,yoga,140,yoga,140,2,"meditation,824,yoga,140"
Rock_My_Soles,yoga,105,yoga,105,1,"yoga,105"
yisforyogini,yoga,51,yoga,51,1,"yoga,51"
ashdyogi,yoga,103,yoga,103,1,"yoga,103"
holisticyogini,yoga,121,yoga,121,1,"yoga,121"
DonnaKFreeman,yoga,88,yoga,88,1,"yoga,88"
davekennedy,yoga,107,yoga,107,1,"yoga,107"
YYoga,yoga,70,yoga,70,1,"yoga,70"
jodim,yoga,99,yoga,99,1,"yoga,99"
PureYogaHK,yoga,68,yoga,68,1,"yoga,68"
lucyactivewear,yoga,86,yoga,86,3,"shopping,701,fitness,179,yoga,86"
