Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
jessicaalba,tvshows_drama_hollywood,16,tvshows_drama_hollywood,16,1,"tvshows_drama_hollywood,16"
ninadobrev,tvshows_drama_hollywood,61,tvshows_drama_hollywood,61,1,"tvshows_drama_hollywood,61"
dramanavi,tvshows_drama_hollywood,35,tvshows_drama_hollywood,35,1,"tvshows_drama_hollywood,35"
AnnaKendrick47,tvshows_drama_hollywood,498,tvshows_drama_hollywood,498,1,"tvshows_drama_hollywood,498"
GibbsRules,tvshows_drama_hollywood,466,tvshows_drama_hollywood,466,1,"tvshows_drama_hollywood,466"
JesseMcCartney,tvshows_drama_hollywood,417,tvshows_drama_hollywood,417,1,"tvshows_drama_hollywood,417"
OfficialWillow,tvshows_drama_hollywood,402,tvshows_drama_hollywood,402,1,"tvshows_drama_hollywood,402"
himymprod,tvshows_drama_hollywood,259,tvshows_drama_hollywood,259,1,"tvshows_drama_hollywood,259"
ScottDisick,tvshows_drama_hollywood,430,tvshows_drama_hollywood,430,1,"tvshows_drama_hollywood,430"
thedavidcook,tvshows_drama_hollywood,366,tvshows_drama_hollywood,366,1,"tvshows_drama_hollywood,366"
daxshepard1,tvshows_drama_hollywood,398,tvshows_drama_hollywood,398,1,"tvshows_drama_hollywood,398"
theofficenbc,tvshows_drama_hollywood,223,tvshows_drama_hollywood,223,1,"tvshows_drama_hollywood,223"
JewelStaite,tvshows_drama_hollywood,190,tvshows_drama_hollywood,190,1,"tvshows_drama_hollywood,190"
CSIMiami_CBS,tvshows_drama_hollywood,293,tvshows_drama_hollywood,293,1,"tvshows_drama_hollywood,293"
RyanGosling,tvshows_drama_hollywood,305,tvshows_drama_hollywood,305,1,"tvshows_drama_hollywood,305"
TimRothLieToMe,tvshows_drama_hollywood,461,tvshows_drama_hollywood,461,1,"tvshows_drama_hollywood,461"
JonahHill,tvshows_drama_hollywood,261,tvshows_drama_hollywood,261,1,"tvshows_drama_hollywood,261"
jarpichit,tvshows_drama_hollywood,344,tvshows_drama_hollywood,344,1,"tvshows_drama_hollywood,344"
emmyrossum,tvshows_drama_hollywood,374,tvshows_drama_hollywood,374,1,"tvshows_drama_hollywood,374"
yelyahwilliams,tvshows_drama_hollywood,109,tvshows_drama_hollywood,109,1,"tvshows_drama_hollywood,109"
chordoverstreet,tvshows_drama_hollywood,310,tvshows_drama_hollywood,310,1,"tvshows_drama_hollywood,310"
MrsSOsbourne,tvshows_drama_hollywood,312,tvshows_drama_hollywood,312,1,"tvshows_drama_hollywood,312"
georgelopez,tvshows_drama_hollywood,247,tvshows_drama_hollywood,247,1,"tvshows_drama_hollywood,247"
edgarwright,tvshows_drama_hollywood,303,tvshows_drama_hollywood,303,1,"tvshows_drama_hollywood,303"
ebertchicago,tvshows_drama_hollywood,120,tvshows_drama_hollywood,120,1,"tvshows_drama_hollywood,120"
RedHourBen,tvshows_drama_hollywood,20,tvshows_drama_hollywood,20,1,"tvshows_drama_hollywood,20"
JennyMcCarthy,tvshows_drama_hollywood,352,tvshows_drama_hollywood,352,1,"tvshows_drama_hollywood,352"
Stana_Katic,tvshows_drama_hollywood,392,tvshows_drama_hollywood,392,1,"tvshows_drama_hollywood,392"
Hollyscoop,tvshows_drama_hollywood,437,tvshows_drama_hollywood,437,1,"tvshows_drama_hollywood,437"
IvankaTrump,tvshows_drama_hollywood,299,tvshows_drama_hollywood,299,1,"tvshows_drama_hollywood,299"
PerezHilton,tvshows_drama_hollywood,27,tvshows_drama_hollywood,27,1,"tvshows_drama_hollywood,27"
jason_mraz,tvshows_drama_hollywood,81,tvshows_drama_hollywood,81,1,"tvshows_drama_hollywood,81"
JennaUshkowitz,tvshows_drama_hollywood,222,tvshows_drama_hollywood,222,1,"tvshows_drama_hollywood,222"
nbccommunity,tvshows_drama_hollywood,370,tvshows_drama_hollywood,370,1,"tvshows_drama_hollywood,370"
hillharper,tvshows_drama_hollywood,349,tvshows_drama_hollywood,349,1,"tvshows_drama_hollywood,349"
SaraBareilles,tvshows_drama_hollywood,425,tvshows_drama_hollywood,425,1,"tvshows_drama_hollywood,425"
BH90210_jp,tvshows_drama_hollywood,424,tvshows_drama_hollywood,424,1,"tvshows_drama_hollywood,424"
SouthPark,tvshows_drama_hollywood,283,tvshows_drama_hollywood,283,1,"tvshows_drama_hollywood,283"
Jon_Favreau,tvshows_drama_hollywood,71,tvshows_drama_hollywood,71,1,"tvshows_drama_hollywood,71"
justinbieber,tvshows_drama_hollywood,30,tvshows_drama_hollywood,30,1,"tvshows_drama_hollywood,30"
shaymitch,tvshows_drama_hollywood,325,tvshows_drama_hollywood,325,1,"tvshows_drama_hollywood,325"
SeanHMurray,tvshows_drama_hollywood,474,tvshows_drama_hollywood,474,1,"tvshows_drama_hollywood,474"
alecbaldwin,tvshows_drama_hollywood,340,tvshows_drama_hollywood,340,1,"tvshows_drama_hollywood,340"
DamonLindelof,tvshows_drama_hollywood,78,tvshows_drama_hollywood,78,1,"tvshows_drama_hollywood,78"
LoganLerman,tvshows_drama_hollywood,453,tvshows_drama_hollywood,453,1,"tvshows_drama_hollywood,453"
KendallJenner,tvshows_drama_hollywood,209,tvshows_drama_hollywood,209,1,"tvshows_drama_hollywood,209"
CW_network,tvshows_drama_hollywood,60,tvshows_drama_hollywood,60,1,"tvshows_drama_hollywood,60"
GGInsider,tvshows_drama_hollywood,446,tvshows_drama_hollywood,446,1,"tvshows_drama_hollywood,446"
MissKellyO,tvshows_drama_hollywood,159,tvshows_drama_hollywood,159,1,"tvshows_drama_hollywood,159"
popsugar,tvshows_drama_hollywood,268,tvshows_drama_hollywood,268,1,"tvshows_drama_hollywood,268"
LoBosworth,tvshows_drama_hollywood,317,tvshows_drama_hollywood,317,1,"tvshows_drama_hollywood,317"
AXNJapan,tvshows_drama_hollywood,25,tvshows_drama_hollywood,25,1,"tvshows_drama_hollywood,25"
ZacharyQuinto,tvshows_drama_hollywood,93,tvshows_drama_hollywood,93,1,"tvshows_drama_hollywood,93"
arnettwill,tvshows_drama_hollywood,360,tvshows_drama_hollywood,360,1,"tvshows_drama_hollywood,360"
WeinsteinFilms,tvshows_drama_hollywood,440,tvshows_drama_hollywood,440,1,"tvshows_drama_hollywood,440"
FOXBroadcasting,tvshows_drama_hollywood,252,tvshows_drama_hollywood,252,1,"tvshows_drama_hollywood,252"
petewentz,tvshows_drama_hollywood,464,tvshows_drama_hollywood,464,1,"tvshows_drama_hollywood,464"
adamlambert,tvshows_drama_hollywood,76,tvshows_drama_hollywood,76,1,"tvshows_drama_hollywood,76"
KimKardashian,tvshows_drama_hollywood,21,tvshows_drama_hollywood,21,1,"tvshows_drama_hollywood,21"
JimCameron,tvshows_drama_hollywood,295,tvshows_drama_hollywood,295,1,"tvshows_drama_hollywood,295"
CodySimpson,tvshows_drama_hollywood,421,tvshows_drama_hollywood,421,1,"tvshows_drama_hollywood,421"
50cent,tvshows_drama_hollywood,301,tvshows_drama_hollywood,301,1,"tvshows_drama_hollywood,301"
TVGroove,tvshows_drama_hollywood,79,tvshows_drama_hollywood,79,1,"tvshows_drama_hollywood,79"
VictoriaJustice,tvshows_drama_hollywood,238,tvshows_drama_hollywood,238,1,"tvshows_drama_hollywood,238"
pennjillette,tvshows_drama_hollywood,211,tvshows_drama_hollywood,211,1,"tvshows_drama_hollywood,211"
iharryshum,tvshows_drama_hollywood,162,tvshows_drama_hollywood,162,1,"tvshows_drama_hollywood,162"
