Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
Yoga_Journal,yoga,1,yoga,1,2,"meditation,12,yoga,1"
yogadork,yoga,2,yoga,2,2,"meditation,52,yoga,2"
YogaNews,yoga,3,yoga,3,1,"yoga,3"
Virtual_Yoga,yoga,4,yoga,4,2,"meditation,188,yoga,4"
MyYogaOnline,yoga,5,yoga,5,1,"yoga,5"
Gaiam,yoga,6,yoga,6,1,"yoga,6"
CoraYoga,yoga,7,yoga,7,3,"buddhism,93,meditation,36,yoga,7"
anusarafriend,yoga,8,yoga,8,1,"yoga,8"
TaraStiles,yoga,9,yoga,9,1,"yoga,9"
elephantjournal,yoga,10,yoga,10,4,"buddhism,14,meditation,15,sustainability_ecology,80,yoga,10"
lululemon,yoga,11,yoga,11,2,"running,136,yoga,11"
YogaUpdates,yoga,12,yoga,12,1,"yoga,12"
yogaweb,yoga,13,yoga,13,1,"yoga,13"
YogaBear,yoga,14,yoga,14,2,"meditation,199,yoga,14"
MandukaYoga,yoga,15,yoga,15,1,"yoga,15"
YogaGuide,yoga,16,yoga,16,1,"yoga,16"
BobWeisenberg,yoga,17,yoga,17,1,"yoga,17"
everythingyoga,yoga,18,yoga,18,1,"yoga,18"
yogarevelation,yoga,19,yoga,19,2,"meditation,197,yoga,19"
KripaluCenter,yoga,20,yoga,20,1,"yoga,20"
rodney_yee,yoga,21,yoga,21,1,"yoga,21"
IntegralYogaMag,yoga,22,yoga,22,1,"yoga,22"
ShivaRea,yoga,23,yoga,23,1,"yoga,23"
LAYOGAMAGAZINE,yoga,24,yoga,24,1,"yoga,24"
FlyingYogini,yoga,25,yoga,25,1,"yoga,25"
YJEVENTS,yoga,26,yoga,26,1,"yoga,26"
OMyoga,yoga,27,yoga,27,1,"yoga,27"
kathrynbudig,yoga,28,yoga,28,1,"yoga,28"
CorePowerYoga,yoga,29,yoga,29,1,"yoga,29"
yogafinds,yoga,30,yoga,30,1,"yoga,30"
whollyyoga,yoga,31,yoga,31,1,"yoga,31"
yoga_peace,yoga,32,yoga,32,1,"yoga,32"
YogaGlo,yoga,33,yoga,33,1,"yoga,33"
BaptisteYoga,yoga,34,yoga,34,1,"yoga,34"
sadienardini,yoga,35,yoga,35,1,"yoga,35"
DeepakChopra,yoga,36,author,33,6,"religion,195,buddhism,98,meditation,42,philosophy,58,author,33,yoga,36"
YogaDirect,yoga,37,yoga,37,1,"yoga,37"
IntegralYoga,yoga,38,yoga,38,1,"yoga,38"
CoreConnecting,yoga,39,yoga,39,1,"yoga,39"
SwSatchidananda,yoga,40,yoga,40,2,"meditation,133,yoga,40"
lotuspad,yoga,41,yoga,41,1,"yoga,41"
YogaTag,yoga,42,yoga,42,1,"yoga,42"
JudithYoga,yoga,43,yoga,43,1,"yoga,43"
YI_Mag,yoga,44,yoga,44,1,"yoga,44"
HathaYogaBoy,yoga,45,yoga,45,1,"yoga,45"
DalaiLama,yoga,46,buddhism,1,9,"religion,15,buddhism,1,peace,88,meditation,2,humanrights_activism_justice,20,charity_philanthropy,67,philosophy,25,psychology_mentalhealth,178,yoga,46"
innerspaceyoga,yoga,47,yoga,47,1,"yoga,47"
YogaSutras,yoga,48,yoga,48,1,"yoga,48"
YogaVibes,yoga,49,yoga,49,1,"yoga,49"
YOGANONYMOUS,yoga,50,yoga,50,1,"yoga,50"
yogadeals,yoga,51,yoga,51,1,"yoga,51"
yisforyogini,yoga,52,yoga,52,1,"yoga,52"
stillyoga,yoga,53,yoga,53,1,"yoga,53"
YogaClassPlan,yoga,54,yoga,54,2,"meditation,177,yoga,54"
theyogapage,yoga,55,yoga,55,1,"yoga,55"
Yoga_Living,yoga,56,yoga,56,1,"yoga,56"
skyyogastudio,yoga,57,yoga,57,1,"yoga,57"
Yoga_Hive,yoga,58,meditation,46,2,"meditation,46,yoga,58"
DailyCupofYoga,yoga,59,yoga,59,1,"yoga,59"
unitedyogis,yoga,60,yoga,60,1,"yoga,60"
itsallyoga_baby,yoga,61,yoga,61,1,"yoga,61"
ashtangayoga,yoga,62,yoga,62,1,"yoga,62"
YogaMamaUK,yoga,63,yoga,63,1,"yoga,63"
yogoer,yoga,64,yoga,64,1,"yoga,64"
spoiledyogi,yoga,65,yoga,65,1,"yoga,65"
MitziConnell,yoga,66,yoga,66,2,"meditation,113,yoga,66"
faithhunteryoga,yoga,67,yoga,67,1,"yoga,67"
PureYogaHK,yoga,68,yoga,68,1,"yoga,68"
WanderlustFest,yoga,69,yoga,69,1,"yoga,69"
bendyoga,yoga,70,yoga,70,1,"yoga,70"
yogasanctuary,yoga,71,yoga,71,1,"yoga,71"
YYoga,yoga,72,yoga,72,1,"yoga,72"
Flowyogamag,yoga,73,yoga,73,1,"yoga,73"
YogaTree,yoga,74,yoga,74,1,"yoga,74"
IntegralHack,yoga,75,yoga,75,1,"yoga,75"
YogaDelMar,yoga,76,yoga,76,1,"yoga,76"
jerseycorn1,yoga,77,yoga,77,1,"yoga,77"
yoga_girl_today,yoga,78,yoga,78,1,"yoga,78"
premapadma,yoga,79,yoga,79,1,"yoga,79"
ayogist,yoga,80,yoga,80,1,"yoga,80"
streetyoga,yoga,81,yoga,81,1,"yoga,81"
ElenaBrower,yoga,82,yoga,82,1,"yoga,82"
lindsayyoga,yoga,83,yoga,83,1,"yoga,83"
yogalivingspace,yoga,84,yoga,84,1,"yoga,84"
jennyonthelam,yoga,85,yoga,85,1,"yoga,85"
shareyoga,yoga,86,yoga,86,2,"meditation,173,yoga,86"
stephanieyogini,yoga,87,yoga,87,1,"yoga,87"
DonnaKFreeman,yoga,88,yoga,88,1,"yoga,88"
lucyactivewear,yoga,89,yoga,89,1,"yoga,89"
yogabrooks,yoga,90,yoga,90,1,"yoga,90"
ARedLotus,yoga,91,yoga,91,1,"yoga,91"
MCYogi108,yoga,92,yoga,92,1,"yoga,92"
JivamuktiNYC,yoga,93,yoga,93,1,"yoga,93"
AshleyTurner1,yoga,94,yoga,94,1,"yoga,94"
lkaminoff,yoga,95,yoga,95,1,"yoga,95"
YogaLifeStyIe,yoga,96,yoga,96,1,"yoga,96"
OFFTHEMATYOGA,yoga,97,yoga,97,1,"yoga,97"
bepresentinc,yoga,98,yoga,98,1,"yoga,98"
IyengarYogaNC,yoga,99,yoga,99,1,"yoga,99"
YoginiYates,yoga,100,yoga,100,1,"yoga,100"
jodim,yoga,101,yoga,101,1,"yoga,101"
Amy_Ippoliti,yoga,102,yoga,102,1,"yoga,102"
YoGeek,yoga,103,yoga,103,1,"yoga,103"
ashdyogi,yoga,104,yoga,104,1,"yoga,104"
Rock_My_Soles,yoga,105,yoga,105,1,"yoga,105"
KrishnaDas,yoga,106,yoga,106,1,"yoga,106"
AnmolMehtaYoga,yoga,107,yoga,107,1,"yoga,107"
YogaWorks,yoga,108,yoga,108,1,"yoga,108"
davekennedy,yoga,109,yoga,109,1,"yoga,109"
MindBodyGreen,yoga,110,yoga,110,1,"yoga,110"
YogaHopeSue,yoga,111,yoga,111,1,"yoga,111"
FlorianYoga,yoga,112,yoga,112,1,"yoga,112"
kimvidya,yoga,113,meditation,71,2,"meditation,71,yoga,113"
bodhimonkey,yoga,114,yoga,114,1,"yoga,114"
yoganation,yoga,115,yoga,115,1,"yoga,115"
omgal,yoga,116,yoga,116,1,"yoga,116"
zenpeacekeeper,yoga,117,humanrights_activism_justice,74,4,"buddhism,105,peace,75,humanrights_activism_justice,74,yoga,117"
YogaToday,yoga,118,yoga,118,1,"yoga,118"
PureYogaNYC,yoga,119,yoga,119,1,"yoga,119"
YogaRevolution,yoga,120,yoga,120,1,"yoga,120"
holisticyogini,yoga,121,yoga,121,1,"yoga,121"
YogaforCynics,yoga,122,yoga,122,1,"yoga,122"
tinybuddha,yoga,123,buddhism,6,6,"religion,132,buddhism,6,peace,157,meditation,17,philosophy,107,yoga,123"
dianecesa,yoga,124,yoga,124,1,"yoga,124"
NamasteBookClub,yoga,125,yoga,125,1,"yoga,125"
yogitoes,yoga,126,yoga,126,1,"yoga,126"
Yogispot,yoga,127,yoga,127,1,"yoga,127"
yogamint,yoga,128,yoga,128,1,"yoga,128"
Yogatothepeople,yoga,129,yoga,129,1,"yoga,129"
PlanetYogaHK,yoga,130,meditation,105,2,"meditation,105,yoga,130"
Yoga_Harmony,yoga,131,yoga,131,1,"yoga,131"
yogablogger,yoga,132,yoga,132,1,"yoga,132"
RumiQuotes,yoga,133,meditation,45,2,"meditation,45,yoga,133"
YogaChicky,yoga,134,yoga,134,1,"yoga,134"
artofyoga,yoga,135,yoga,135,1,"yoga,135"
MelissaDawnYoga,yoga,136,yoga,136,1,"yoga,136"
YogaUnfolds,yoga,137,yoga,137,1,"yoga,137"
sevapuri,yoga,138,yoga,138,1,"yoga,138"
Urban_Zen,yoga,139,yoga,139,1,"yoga,139"
downwarddog,yoga,140,yoga,140,1,"yoga,140"
ViriamKaur,yoga,141,yoga,141,1,"yoga,141"
Yogalayam,yoga,142,yoga,142,1,"yoga,142"
SNOWGA,yoga,143,yoga,143,2,"meditation,178,yoga,143"
yogageekgirl,yoga,144,yoga,144,1,"yoga,144"
WellnessYogini,yoga,145,yoga,145,1,"yoga,145"
Bodaciousyoga,yoga,146,yoga,146,1,"yoga,146"
VIRAYOGA,yoga,147,yoga,147,1,"yoga,147"
snowflakeyoga,yoga,148,yoga,148,1,"yoga,148"
magofyoga,yoga,149,yoga,149,1,"yoga,149"
soulwhispersvt,yoga,150,yoga,150,1,"yoga,150"
yoginijade,yoga,151,yoga,151,1,"yoga,151"
SarahKohl,yoga,152,yoga,152,1,"yoga,152"
KimMcNeilYoga,yoga,153,yoga,153,1,"yoga,153"
BigHappyTweets,yoga,154,yoga,154,1,"yoga,154"
SempervivaYoga,yoga,155,yoga,155,1,"yoga,155"
drishtiyoga,yoga,156,yoga,156,1,"yoga,156"
appleyoga,yoga,157,yoga,157,1,"yoga,157"
stralayoga,yoga,158,yoga,158,1,"yoga,158"
yogamomz,yoga,159,yoga,159,1,"yoga,159"
yogiSTING,yoga,160,yoga,160,1,"yoga,160"
LauraYogimama,yoga,161,yoga,161,1,"yoga,161"
lasara_allen,yoga,162,yoga,162,1,"yoga,162"
himalayanorg,yoga,163,yoga,163,1,"yoga,163"
h0tYoga,yoga,164,yoga,164,1,"yoga,164"
swami_sivananda,yoga,165,yoga,165,1,"yoga,165"
AllYogaShare,yoga,166,yoga,166,1,"yoga,166"
barebonesyoga,yoga,167,yoga,167,1,"yoga,167"
YogisAnonymous,yoga,168,yoga,168,1,"yoga,168"
YogaRunning,yoga,169,yoga,169,1,"yoga,169"
lexiyoga,yoga,170,yoga,170,1,"yoga,170"
yogaguideindia,yoga,171,yoga,171,1,"yoga,171"
BhaktiYogaShala,yoga,172,yoga,172,1,"yoga,172"
yogalizard,yoga,173,yoga,173,1,"yoga,173"
CyndiLeeyoga,yoga,174,yoga,174,1,"yoga,174"
marketyoga,yoga,175,yoga,175,1,"yoga,175"
coffeeandyoga,yoga,176,yoga,176,1,"yoga,176"
yoga_digest,yoga,177,yoga,177,1,"yoga,177"
aboutyoga,yoga,178,yoga,178,1,"yoga,178"
amyschatzyoga,yoga,179,yoga,179,1,"yoga,179"
Hugger_Mugger,yoga,180,yoga,180,1,"yoga,180"
Durgamaa,yoga,181,yoga,181,1,"yoga,181"
Yoganomics,yoga,182,yoga,182,1,"yoga,182"
miss_om,yoga,183,yoga,183,1,"yoga,183"
Bikramisms,yoga,184,yoga,184,1,"yoga,184"
BabaRamDass,yoga,185,meditation,51,2,"meditation,51,yoga,185"
yogatuneup,yoga,186,yoga,186,1,"yoga,186"
yogatips,yoga,187,yoga,187,1,"yoga,187"
Yoga_Rising,yoga,188,yoga,188,1,"yoga,188"
DarlaCooks,yoga,189,yoga,189,1,"yoga,189"
omtime,yoga,190,yoga,190,1,"yoga,190"
Trikaya,yoga,191,yoga,191,1,"yoga,191"
JadeYoga,yoga,192,yoga,192,1,"yoga,192"
eoinfinnyoga,yoga,193,yoga,193,1,"yoga,193"
shantignr8tion,yoga,194,yoga,194,1,"yoga,194"
PatriciaBWriter,yoga,195,yoga,195,1,"yoga,195"
YogaQuotes,yoga,196,yoga,196,1,"yoga,196"
kellymcgonigal,yoga,197,yoga,197,1,"yoga,197"
MindandBodyYoga,yoga,198,yoga,198,1,"yoga,198"
rogue_yogi,yoga,199,yoga,199,1,"yoga,199"
namaste_vayo,yoga,200,vegetarian,149,2,"vegetarian,149,yoga,200"
shanedawson,youtube,1,youtube,1,1,"youtube,1"
shaycarl,youtube,2,youtube,2,1,"youtube,2"
ijustine,youtube,3,youtube,3,3,"tech,94,mac_iphone,117,youtube,3"
PhillyD,youtube,4,youtube,4,1,"youtube,4"
buckhollywood,youtube,5,youtube,5,1,"youtube,5"
kassemg,youtube,6,youtube,6,1,"youtube,6"
CharlesTrippy,youtube,7,youtube,7,1,"youtube,7"
RayWJ,youtube,8,youtube,8,1,"youtube,8"
davedays,youtube,9,youtube,9,1,"youtube,9"
TheRealRyanHiga,youtube,10,youtube,10,1,"youtube,10"
smosh,youtube,11,youtube,11,1,"youtube,11"
coollike,youtube,12,youtube,12,1,"youtube,12"
MysteryGuitarM,youtube,13,youtube,13,1,"youtube,13"
AlliTrippy,youtube,14,youtube,14,1,"youtube,14"
YouTube,youtube,15,youtube,15,3,"blogs,111,tech,54,youtube,15"
katilette,youtube,16,youtube,16,1,"youtube,16"
natalietran,youtube,17,youtube,17,1,"youtube,17"
smoshanthony,youtube,18,youtube,18,1,"youtube,18"
SmoshIan,youtube,19,youtube,19,1,"youtube,19"
kevjumba,youtube,20,youtube,20,1,"youtube,20"
Lisa_Nova,youtube,21,youtube,21,1,"youtube,21"
mmitchelldaviss,youtube,22,youtube,22,1,"youtube,22"
meekakitty,youtube,23,youtube,23,1,"youtube,23"
brittanitaylor,youtube,24,youtube,24,1,"youtube,24"
realjohngreen,youtube,25,youtube,25,2,"author,29,youtube,25"
