music;sound 
sound;sense_experience 
sense_experience;perception 
perception;basic_cognitive_process 
basic_cognitive_process;cognitive_operation 
cognitive_operation;cognition 
cognition;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
blogger;somebody 
somebody;organism 
organism;animate_thing 
animate_thing;unit 
unit;object 
object;physical_entity 
physical_entity;entity 
entrepreneur;bourgeois 
bourgeois;capitalist 
capitalist;somebody 
somebody;organism 
organism;animate_thing 
animate_thing;unit 
unit;object 
object;physical_entity 
physical_entity;entity 
tech;school 
school;educational_institution 
educational_institution;establishment 
establishment;organization 
organization;social_group 
social_group;group 
group;abstract_entity 
abstract_entity;entity 
marketing;commerce 
commerce;dealing 
dealing;group_action 
group_action;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
writer;literate 
literate;somebody 
somebody;organism 
organism;animate_thing 
animate_thing;unit 
unit;object 
object;physical_entity 
physical_entity;entity 
fashion;practice 
practice;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
photographer;creative_person 
creative_person;creator 
creator;somebody 
somebody;organism 
organism;animate_thing 
animate_thing;unit 
unit;object 
object;physical_entity 
physical_entity;entity 
design;creativity 
creativity;power 
power;cognition 
cognition;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
politics;social_science 
social_science;scientific_discipline 
scientific_discipline;study 
study;knowledge_base 
knowledge_base;content 
content;cognition 
cognition;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
artist;creator 
creator;somebody 
somebody;organism 
organism;animate_thing 
animate_thing;unit 
unit;object 
object;physical_entity 
physical_entity;entity 
news;information 
information;content 
content;communication 
communication;abstract_entity 
abstract_entity;entity 
celebrity;laurels 
laurels;standing 
standing;status 
status;state 
state;attribute 
attribute;abstract_entity 
abstract_entity;entity 
technology;practical_application 
practical_application;usage 
usage;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
entertainment;recreation 
recreation;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
gaming;recreation 
recreation;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
business;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
comedy;drama 
drama;writing_style 
writing_style;expressive_style 
expressive_style;communication 
communication;abstract_entity 
abstract_entity;entity 
food;content 
content;cognition 
cognition;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
shopping;buying 
buying;purchase 
purchase;acquisition 
