name,keyword_found,centrality,retweets,all_retweets
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,1,2
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,1,14
ChemistryWorld,0,0.69,0,0
ChemistryWorld,1,0.69,0,0
ChemistryWorld,1,0.69,0,1
ChemistryWorld,0,0.69,0,3
ChemistryWorld,0,0.69,0,2
ChemistryWorld,0,0.69,0,7
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,13
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,19
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,43
ChemistryWorld,1,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,12
ChemistryWorld,0,0.69,0,5
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,10
ChemistryWorld,0,0.69,0,6
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,1
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,3
ChemistryWorld,0,0.69,0,5
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,5
ChemistryWorld,0,0.69,0,4
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,14
ChemistryWorld,0,0.69,0,5
ChemistryWorld,0,0.69,0,10
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,1,13
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,3
ChemistryWorld,0,0.69,0,4
ChemistryWorld,0,0.69,0,4
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,1
ChemistryWorld,0,0.69,0,4
ChemistryWorld,0,0.69,0,5
ChemistryWorld,0,0.69,0,3
ChemistryWorld,0,0.69,3,51
ChemistryWorld,0,0.69,1,13
ChemistryWorld,0,0.69,0,11
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,3
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,4
ChemistryWorld,0,0.69,0,0
ChemistryWorld,0,0.69,0,5
ChemistryWorld,0,0.69,0,0
ChemistryWorld,1,0.69,0,1
