Name of List A,Name of List B,Maximum Overlapping people,Number of 10% overlaps with other groups,Details
yoga,meditation,177,1,"meditation,177"
youtube,beauty,55,0,""
etsy,handmade,431,1,"handmade,431"
poker,gambling,73,0,""
dance,theater,30,0,""
cinema,hollywood,121,1,"hollywood,121"
poetry,literature,116,1,"literature,116"
history,archaeology,166,2,"genealogy,112,archaeology,166"
outdoors,hiking,302,5,"hunting,174,nature,193,hiking,302,fishing,105,climbing,170"
gardening,nature,47,0,""
rapper,singer,174,1,"singer,174"
handmade,etsy,431,1,"etsy,431"
anime,animation,51,0,""
php,developer,47,0,""
college,highered,138,1,"highered,138"
linux,opensource,270,1,"opensource,270"
restaurant,dining,246,3,"dining,246,food,147,chef,117"
baseball,fantasy,126,2,"fantasy,126,reporter,112"
guitar,musician,59,0,""
theatre,theater,452,1,"theater,452"
beer,dining,18,0,""
musician,singer,363,2,"hollywood,137,singer,363"
tech,innovation,152,7,"news,115,developer,110,blogs,117,innovation,152,mac,118,marketing,129,mobile,129"
marketing,advertising,325,4,"tech,129,ceo,103,advertising,325,branding,155"
sport,football,394,2,"football,394,basketball,104"
fashion,shopping,278,3,"magazine,144,beauty,256,shopping,278"
photography,multimedia,69,0,""
politics,news,303,5,"reporter,173,democrat,120,activism,143,news,303,liberal,164"
news,politics,303,7,"magazine,126,finance,101,reporter,168,politics,303,blogs,133,newspaper,203,tech,115"
gaming,developer,79,0,""
comedy,funny,573,4,"hollywood,153,jokes,173,actor,197,funny,573"
food,cooking,463,7,"restaurant,147,dining,176,recipes,390,baking,139,nutrition,103,chef,365,cooking,463"
advertising,marketing,325,2,"branding,145,marketing,325"
realestate,storage,36,0,""
football,sport,394,2,"fantasy,130,sport,394"
actor,hollywood,498,8,"hollywood,498,director,150,drama,260,realitytv,101,comedy,197,funny,158,singer,119,tvshows,266"
radio,news,54,0,""
wine,food,72,0,""
beauty,fashion,256,2,"fashion,256,shopping,169"
finance,trading,242,3,"trading,242,news,101,economics,238"
golf,sport,21,0,""
sustainability,energy,233,4,"ecology,213,nature,131,energy,233,climatechange,142"
publishing,writing,237,3,"literature,236,author,119,writing,237"
charity,philanthropy,262,3,"activism,163,justice,153,philanthropy,262"
architecture,construction,117,1,"construction,117"
mobile,smartphone,159,3,"smartphone,159,tech,129,iphone,101"
branding,marketing,155,2,"advertising,145,marketing,155"
mac,iphone,289,4,"ipad,163,developer,130,tech,118,iphone,289"
cycling,sport,36,0,""
wedding,marriage,25,0,""
comics,animation,43,0,""
running,fitness,94,0,""
accounting,finance,12,0,""
airlines,aviation,371,1,"aviation,371"
astrology,dating,18,0,""
astronomy,physics,276,1,"physics,276"
automotive,racing,21,0,""
basketball,sport,104,1,"sport,104"
ceo,marketing,103,1,"marketing,103"
dating,marriage,112,1,"marriage,112"
healthcare,medicine,305,2,"pharma,226,medicine,305"
hiking,outdoors,302,2,"outdoors,302,climbing,145"
hospitality,restaurant,73,0,""
investor,tech,63,0,""
java,developer,41,0,""
lawyer,legal,510,1,"legal,510"
perl,opensource,17,0,""
python,developer,28,0,""
religion,jewish,80,0,""
ruby,developer,73,0,""
sailing,weather,6,0,""
surfing,skateboarding,50,0,""
tennis,sport,34,0,""
trading,finance,242,2,"finance,242,economics,104"
linguistics,teaching,27,0,""
literacy,children,84,0,""
poverty,justice,106,1,"justice,106"
archaeology,anthropology,181,2,"anthropology,181,history,166"
database,opensource,33,0,""
neuroscience,psychology,177,1,"psychology,177"
filmfestival,cinema,84,0,""
sociology,anthropology,51,0,""
chemistry,biology,49,0,""
anthropology,archaeology,181,1,"archaeology,181"
marriage,dating,112,1,"dating,112"
nursing,medicine,104,1,"medicine,104"
activism,justice,301,7,"justice,301,politics,143,humanrights,173,philanthropy,139,liberal,146,peace,112,charity,163"
climbing,outdoors,170,2,"hiking,145,outdoors,170"
ipad,iphone,315,3,"developer,102,mac,163,iphone,315"
pharma,healthcare,226,2,"medicine,160,healthcare,226"
reporter,politics,173,3,"politics,173,news,168,baseball,112"
storage,realestate,36,0,""
physics,astronomy,276,1,"astronomy,276"
pregnancy,parenting,113,1,"parenting,113"
banking,finance,64,0,""
homeschool,school,635,1,"school,635"
genealogy,history,112,1,"history,112"
agriculture,nutrition,48,0,""
buddhism,meditation,150,1,"meditation,150"
toys,comics,34,0,""
climatechange,sustainability,142,3,"ecology,104,sustainability,142,energy,130"
islam,religion,45,0,""
hunting,outdoors,174,2,"outdoors,174,fishing,162"
cancer,charity,60,0,""
fantasy,football,130,3,"football,130,author,113,baseball,126"
theater,theatre,452,1,"theatre,452"
multimedia,photography,69,0,""
jewish,religion,80,0,""
romance,author,146,1,"author,146"
jokes,funny,257,2,"comedy,173,funny,257"
weather,news,84,0,""
engineering,construction,44,0,""
legal,lawyer,510,1,"lawyer,510"
newspaper,news,203,1,"news,203"
rugby,sport,39,0,""
aviation,airlines,371,1,"airlines,371"
wrestling,realitytv,4,0,""
highered,college,138,1,"college,138"
peace,activism,112,1,"activism,112"
horror,director,34,0,""
philanthropy,charity,262,3,"activism,139,justice,132,charity,262"
racing,motorcycle,125,1,"motorcycle,125"
chef,food,365,5,"restaurant,117,dining,133,recipes,254,food,365,cooking,299"
humanrights,activism,173,2,"activism,173,justice,158"
insurance,swimming,21,0,""
jazz,musician,30,0,""
career,employment,185,1,"employment,185"
military,veteran,279,2,"veteran,279,army,212"
energy,sustainability,233,3,"ecology,156,sustainability,233,climatechange,130"
exercise,nutrition,226,2,"nutrition,226,fitness,200"
flash,developer,38,0,""
construction,architecture,117,1,"architecture,117"
university,college,98,0,""
motorcycle,racing,125,1,"racing,125"
vegetarian,nutrition,49,0,""
skiing,outdoors,79,0,""
recipes,cooking,431,5,"food,390,baking,145,nutrition,102,chef,254,cooking,431"
opensource,linux,270,1,"linux,270"
animation,anime,51,0,""
skateboarding,surfing,50,0,""
medicine,healthcare,305,3,"pharma,160,healthcare,305,nursing,104"
management,innovation,104,1,"innovation,104"
director,actor,150,3,"hollywood,148,actor,150,screenwriter,120"
nature,outdoors,193,3,"ecology,177,sustainability,131,outdoors,193"
swimming,running,30,0,""
economics,finance,238,2,"trading,104,finance,238"
magazine,blogs,178,3,"news,126,fashion,144,blogs,178"
children,parenting,154,1,"parenting,154"
fishing,hunting,162,2,"hunting,162,outdoors,105"
psychology,mentalhealth,218,2,"mentalhealth,218,neuroscience,177"
literature,publishing,236,3,"poetry,116,publishing,236,writing,153"
hockey,sport,5,0,""
philosophy,religion,52,0,""
nutrition,fitness,238,4,"recipes,102,food,103,fitness,238,exercise,226"
parenting,children,154,2,"children,154,pregnancy,113"
blogs,magazine,178,3,"magazine,178,news,133,tech,117"
iphone,ipad,315,4,"ipad,315,developer,189,mac,289,mobile,101"
cooking,food,463,5,"dining,112,recipes,431,food,463,baking,173,chef,299"
singer,musician,363,4,"musician,363,hollywood,208,rapper,174,actor,119"
developer,iphone,189,5,"ipad,102,html,140,tech,110,mac,130,iphone,189"
publicrelations,advertising,98,0,""
writing,publishing,237,3,"literature,153,author,210,publishing,237"
author,writing,210,4,"fantasy,113,publishing,119,romance,146,writing,210"
fitness,nutrition,238,2,"nutrition,238,exercise,200"
funny,comedy,573,4,"hollywood,130,jokes,257,actor,158,comedy,573"
shopping,fashion,278,2,"beauty,169,fashion,278"
drama,actor,260,3,"hollywood,253,actor,260,tvshows,192"
ecology,sustainability,213,4,"nature,177,sustainability,213,energy,156,climatechange,104"
piano,composer,14,0,""
dining,restaurant,246,4,"restaurant,246,food,176,chef,133,cooking,112"
realitytv,hollywood,149,2,"hollywood,149,actor,101"
html,developer,140,1,"developer,140"
army,veteran,546,2,"military,212,veteran,546"
