Project,Name,Member_count,FF_Nodes,AT_Nodes,RT_Nodes,FF_density,AT_density,FF_avg_path_length,AT_avg_path_length,FF_clustering,AT_clustering,FF_reciprocity,AT_reciprocity,AT_avg_tie_strength,RT_density,RT_edges,RT_volume
4,yoga,10320,101,98,95,0.470792079208,0.191668419945,1.31940594059,1.76709446665,0.755235245565,0.542884233971,0.319873817035,0.271679473106,9.09385290889,0.0824188129899,736,2101.0
6,youtube,7586,101,100,92,0.360891089109,0.227272727273,1.63762376238,1.87303030303,0.716762300027,0.57547779968,0.361316872428,0.307555555556,9.32311111111,0.0709507883421,594,1516.0
9,etsy,14974,101,101,69,0.339405940594,0.0882178217822,1.31376237624,2.41881188119,0.612477421645,0.371294937258,0.317386231039,0.205387205387,13.3333333333,0.0321824381927,151,694.0
13,poker,10632,101,101,97,0.380099009901,0.278217821782,1.53356435644,1.6796039604,0.741234757352,0.592934613983,0.275071633238,0.303558718861,8.45053380783,0.132517182131,1234,4067.0
17,dance,14952,101,101,99,0.42801980198,0.156534653465,1.55346534653,2.0995049505,0.747545328559,0.545552847937,0.337034466805,0.297280202404,11.8633776091,0.0936920222635,909,4473.0
19,cinema,11872,101,98,92,0.192376237624,0.0556490637492,1.96554455446,1.59126539754,0.595612627723,0.28418969518,0.233144621719,0.249527410208,17.9848771267,0.0462255136168,387,2000.0
21,poetry,7552,99,89,54,0.148113790971,0.0536261491318,1.62512883941,1.74025974026,0.444643330489,0.303171731064,0.313152400835,0.309523809524,11.5714285714,0.0593990216632,170,812.0
25,history,9979,101,100,90,0.266534653465,0.059595959596,1.43782178218,2.15002147766,0.627722209389,0.266474994148,0.268573551263,0.271186440678,9.08474576271,0.0414481897628,332,1208.0
27,outdoors,10613,101,98,93,0.285445544554,0.138333683989,1.22762376238,1.9923206396,0.595071827567,0.514007204652,0.258411377038,0.276045627376,9.96197718631,0.0599579242637,513,2402.0
31,gardening,6536,101,99,83,0.472673267327,0.146052360338,1.25079207921,2.0523879655,0.745866504847,0.481316328565,0.360703812317,0.298517995766,10.1312632322,0.060828680576,414,3282.0
33,rapper,4565,101,101,93,0.282772277228,0.116336633663,1.46455445545,2.08930693069,0.612840296721,0.326764839522,0.283963585434,0.231489361702,37.9319148936,0.0545815801777,467,1320.0
39,handmade,11726,101,101,71,0.309405940594,0.0713861386139,1.23584158416,2.55089108911,0.552656607019,0.337245730733,0.27872,0.19972260749,16.0665742025,0.027967806841,139,365.0
44,anime,13236,101,100,91,0.341683168317,0.183636363636,1.63257425743,1.89435168007,0.644682923705,0.490547875419,0.33207765865,0.298679867987,11.1298129813,0.0949938949939,778,2953.0
