Name,FF_Nodes,FF_betweeness,FF_closeness,FF_degree,FF_eigenvector,FF_c_size,FF_c_density,FF_c_hierarchy,FF_c_index
"""genealogy""",112,0.00224819510021,0.885350318471,1.63309352518,0.0456288475559,0.113815446596,0.0492685280997,0.021916283486,0.185000258181
"""accounting""",98,0.00238596430697,0.879746835443,1.67625899281,0.067363939407,0.0614757361932,0.0644207137229,0.022788268624,0.14868471854
"""fashion""",143,0.00219025937488,0.803468208092,1.71223021583,0.0689260952493,0.0601604749007,0.0417051703561,0.0187544420822,0.120620087339
"""linguistics""",122,0.00129246364329,0.794285714286,1.3381294964,0.0282765416938,0.0635632053063,0.0623414901985,0.0220681851282,0.147972880633
"""filmfestival""",127,0.00224156226364,0.891025641026,1.61151079137,0.0866246082964,0.083666674447,0.0654471096123,0.0199935760485,0.169107360108
"""outdoors""",31,0.00156127592088,0.776536312849,1.54676258993,0.0327765445196,0.122130431491,0.0684264324094,0.025233802405,0.215790666305
"""opensource""",43,0.000970395139902,0.789772727273,1.31654676259,0.0244576086992,0.150705707517,0.119055701245,0.0319436076591,0.301705016421
"""highered""",110,0.00237066062022,0.852760736196,1.59712230216,0.0651455248671,0.0920606023614,0.0637145736638,0.0236889558447,0.17946413187
"""newspaper""",21,0.000910098120337,0.70202020202,1.21582733813,0.012602583511,0.0997955885327,0.0665386600501,0.017963638903,0.184297887486
"""chemistry""",111,0.000830626110673,0.776536312849,1.26618705036,0.0610233148052,0.0809495748238,0.0773041338894,0.0240518202506,0.182305528964
"""beauty""",71,0.0011412752416,0.755434782609,1.42446043165,0.0488237808248,0.17884566892,0.0476577737935,0.0203849893371,0.24688843205
"""construction""",103,0.00175397411979,0.84756097561,1.48201438849,0.0809658748902,0.0858658908069,0.0626167890766,0.0260162605394,0.174498940423
"""etsy""",105,0.00284565833763,0.914473684211,1.74820143885,0.0888222142422,0.090165192817,0.0375038695616,0.0172300138669,0.144899076245
"""basketball""",101,0.00194520089211,0.743315508021,1.61870503597,0.0236731777349,0.0432037957827,0.0465397393028,0.0182829451621,0.108026480248
"""database""",74,0.000411299342508,0.709183673469,0.928057553957,0.0202600676322,0.273665440669,0.111139111375,0.0209190267533,0.405723578798
"""motorcycle""",87,0.00140497520552,0.785310734463,1.51079136691,0.0300062811961,0.0802666313239,0.0477836109894,0.0202071080534,0.148257350367
"""jazz""",140,0.00262317061279,0.902597402597,1.74820143885,0.0743310956934,0.0513223673304,0.0534277330141,0.0199078479658,0.12465794831
"""neuroscience""",111,0.00200599803463,0.86875,1.55395683453,0.0419833465232,0.0783798935345,0.066384167547,0.0222236788708,0.166987739952
"""flash""",125,0.000811470966188,0.720207253886,1.1654676259,0.0240527743744,0.116594477932,0.0852079798736,0.0238990140036,0.225701471809
"""theatre""",143,0.00192949951457,0.832335329341,1.61151079137,0.0591453057882,0.0872586982994,0.0442282737068,0.016516699426,0.148003671432
"""rugby""",114,0.000708032128303,0.712820512821,1.17985611511,0.0102285403073,0.0803214280307,0.0410149172962,0.0159354443324,0.137271789659
"""politics""",291,0.00513039766935,0.965277777778,1.96402877698,0.249433930452,0.0384369586975,0.0521558902065,0.0217566212409,0.112349470145
