id,at_out_rt_in R^2,p,at_in_rt_in R^2,p,at_clos_rt_in R^2,p,at_pag_rt_in R^2,p,ff_out_rt_in R^2,p,ff_in_rt_in R^2,p,ff_clos_rt_in R^2,p,ff_pag_rt_in R^2,p
4,0.418,0.000,0.447,0.000,0.313,0.002,0.225,0.031,0.086,0.405,0.473,0.000,0.112,0.279,0.576,0.000
6,0.366,0.000,0.476,0.000,0.353,0.001,0.389,0.000,0.396,0.000,0.613,0.000,0.334,0.001,0.635,0.000
9,0.403,0.001,0.283,0.018,0.303,0.011,0.306,0.011,-0.149,0.222,0.287,0.017,-0.203,0.094,0.379,0.001
13,0.499,0.000,0.628,0.000,0.442,0.000,0.453,0.000,0.284,0.005,0.661,0.000,0.274,0.007,0.606,0.000
17,0.653,0.000,0.773,0.000,0.506,0.000,0.261,0.009,0.237,0.018,0.575,0.000,0.179,0.077,0.339,0.001
19,0.027,0.801,0.652,0.000,-0.019,0.855,0.348,0.001,0.025,0.811,0.541,0.000,0.033,0.752,0.534,0.000
21,0.331,0.014,0.605,0.000,0.213,0.121,0.286,0.036,0.197,0.153,0.374,0.005,0.192,0.163,0.340,0.012
25,0.319,0.002,0.553,0.000,0.253,0.017,0.264,0.012,0.122,0.254,0.578,0.000,0.009,0.934,0.644,0.000
27,0.187,0.078,0.723,0.000,0.071,0.504,0.438,0.000,0.010,0.926,0.537,0.000,-0.054,0.608,0.561,0.000
31,0.516,0.000,0.624,0.000,0.430,0.000,0.346,0.001,0.184,0.096,0.478,0.000,0.121,0.277,0.546,0.000
33,0.324,0.002,0.562,0.000,0.252,0.015,0.092,0.379,0.234,0.024,0.584,0.000,0.258,0.013,0.525,0.000
39,0.141,0.242,0.520,0.000,0.069,0.565,0.456,0.000,-0.064,0.595,0.336,0.004,-0.158,0.189,0.367,0.002
44,0.269,0.010,0.526,0.000,0.075,0.482,0.153,0.147,0.211,0.045,0.668,0.000,0.180,0.089,0.749,0.000
46,0.482,0.000,0.631,0.000,0.380,0.000,0.394,0.000,0.036,0.728,0.767,0.000,0.024,0.812,0.762,0.000
48,0.357,0.001,0.715,0.000,0.267,0.016,0.166,0.141,0.289,0.009,0.587,0.000,0.098,0.388,0.606,0.000
56,0.160,0.117,0.726,0.000,0.026,0.799,0.233,0.022,0.105,0.306,0.674,0.000,0.102,0.321,0.743,0.000
62,0.202,0.140,0.740,0.000,0.256,0.059,0.495,0.000,0.002,0.987,0.433,0.001,0.064,0.632,0.539,0.000
70,0.668,0.000,0.444,0.010,0.482,0.005,-0.074,0.682,0.551,0.001,0.542,0.001,0.314,0.075,0.542,0.001
72,0.224,0.024,0.269,0.007,0.276,0.005,-0.122,0.225,0.428,0.000,0.744,0.000,0.381,0.000,0.640,0.000
82,0.302,0.013,0.684,0.000,0.257,0.035,0.526,0.000,0.085,0.490,0.560,0.000,0.066,0.592,0.761,0.000
86,0.331,0.001,0.536,0.000,0.240,0.019,0.057,0.581,0.320,0.002,0.514,0.000,0.232,0.023,0.528,0.000
94,0.236,0.020,0.561,0.000,0.220,0.031,0.394,0.000,0.033,0.749,0.536,0.000,0.063,0.541,0.737,0.000
98,0.178,0.170,0.092,0.479,0.101,0.440,-0.103,0.429,0.071,0.584,0.274,0.031,0.170,0.187,0.221,0.085
99,0.541,0.000,0.631,0.000,0.428,0.000,0.270,0.008,0.467,0.000,0.664,0.000,0.406,0.000,0.440,0.000
100,0.288,0.008,0.395,0.000,0.239,0.028,0.241,0.026,0.348,0.001,0.495,0.000,0.285,0.009,0.479,0.000
101,0.579,0.000,0.548,0.000,0.506,0.000,-0.053,0.621,0.590,0.000,0.592,0.000,0.515,0.000,-0.116,0.278
102,0.245,0.017,0.537,0.000,0.176,0.089,0.178,0.086,0.206,0.046,0.597,0.000,0.214,0.038,0.557,0.000
103,0.502,0.000,0.431,0.000,0.568,0.000,0.357,0.002,-0.058,0.611,0.639,0.000,-0.005,0.967,0.606,0.000
104,0.256,0.013,0.284,0.005,0.318,0.002,0.023,0.823,0.306,0.003,0.615,0.000,0.246,0.017,0.141,0.175
105,0.358,0.001,0.284,0.011,0.428,0.000,-0.005,0.963,0.157,0.148,0.274,0.011,0.243,0.024,0.088,0.420
106,0.422,0.000,0.565,0.000,0.327,0.001,0.324,0.001,0.196,0.054,0.569,0.000,0.092,0.368,0.441,0.000
107,0.546,0.000,0.617,0.000,0.437,0.000,0.057,0.603,0.443,0.000,0.597,0.000,0.327,0.002,0.415,0.000
108,0.341,0.001,0.415,0.000,0.257,0.015,-0.021,0.845,0.393,0.000,0.579,0.000,0.405,0.000,0.486,0.000
