Interest ;Deutschland;Schweiz;Addidas;Loewe;Hagebau;Deutschland;Schweiz;Addidas;Loewe;Hagebau
musician_singer;1165;190;944;1838;76;2.606263982;2.235294118;1.491311216;2.903633491;0.387755102
tvshows_drama_actor_hollywood;1043;220;718;1727;57;2.333333333;2.588235294;1.134281201;2.728278041;0.290816327
tech;535;196;801;1711;159;1.196868009;2.305882353;1.265402844;2.70300158;0.81122449
youtube;396;53;137;151;31;0.88590604;0.623529412;0.2164297;0.238546603;0.158163265
politics_news;366;59;571;967;72;0.818791946;0.694117647;0.902053712;1.52764613;0.367346939
rapper;364;83;535;509;25;0.814317673;0.976470588;0.845181675;0.804107425;0.12755102
gaming;224;18;125;186;8;0.501118568;0.211764706;0.197472354;0.293838863;0.040816327
realitytv;197;52;286;726;19;0.440715884;0.611764706;0.451816746;1.146919431;0.096938776
comedy_funny;192;44;405;862;30;0.429530201;0.517647059;0.639810427;1.361769352;0.153061224
sport_football;189;65;945;668;9;0.422818792;0.764705882;1.492890995;1.055292259;0.045918367
mac_iphone;182;24;231;495;23;0.407158837;0.282352941;0.36492891;0.781990521;0.117346939
wrestling;169;5;199;68;2;0.378076063;0.058823529;0.314375987;0.107424961;0.010204082
beauty_fashion_shopping;167;46;223;3941;40;0.37360179;0.541176471;0.352290679;6.225908373;0.204081633
restaurant_dining;153;22;98;191;8;0.342281879;0.258823529;0.154818325;0.301737757;0.040816327
mobile_smartphone;135;33;197;407;29;0.302013423;0.388235294;0.31121643;0.642969984;0.147959184
advertising;131;56;76;471;8;0.293064877;0.658823529;0.120063191;0.744075829;0.040816327
airlines_aviation;130;37;186;360;47;0.29082774;0.435294118;0.293838863;0.568720379;0.239795918
magazine;122;28;177;2199;103;0.272930649;0.329411765;0.279620853;3.473933649;0.525510204
marketing;119;66;333;225;22;0.266219239;0.776470588;0.526066351;0.355450237;0.112244898
democrat;119;19;103;149;9;0.266219239;0.223529412;0.16271722;0.235387046;0.045918367
tennis;106;32;514;313;2;0.237136465;0.376470588;0.812006319;0.494470774;0.010204082
jokes;106;15;112;177;4;0.237136465;0.176470588;0.176935229;0.279620853;0.020408163
finance_economics;105;71;100;529;16;0.234899329;0.835294118;0.157977883;0.835703002;0.081632653
newspaper;98;19;130;440;19;0.219239374;0.223529412;0.205371248;0.695102686;0.096938776
ceo;93;64;206;363;18;0.208053691;0.752941176;0.325434439;0.573459716;0.091836735
publicrelations;86;22;118;65;21;0.192393736;0.258823529;0.186413902;0.102685624;0.107142857
ipad;85;15;73;215;10;0.1901566;0.176470588;0.115323855;0.339652449;0.051020408
blogs;78;36;172;421;22;0.174496644;0.423529412;0.271721959;0.665086888;0.112244898
automotive;76;109;128;294;13;0.170022371;1.282352941;0.20221169;0.464454976;0.066326531
basketball;71;22;556;192;11;0.158836689;0.258823529;0.87835703;0.303317536;0.056122449
peace;70;22;84;102;34;0.156599553;0.258823529;0.132701422;0.161137441;0.173469388
food_chef;67;8;90;271;7;0.149888143;0.094117647;0.142180095;0.428120063;0.035714286
astronomy_physics;65;9;68;209;9;0.14541387;0.105882353;0.107424961;0.330173776;0.045918367
cinema;62;7;80;407;8;0.138702461;0.082352941;0.126382306;0.642969984;0.040816327
humanrights_activism_justice;62;17;111;189;12;0.138702461;0.2;0.17535545;0.298578199;0.06122449
hacking;59;5;39;74;11;0.131991051;0.058823529;0.061611374;0.116903633;0.056122449
skateboarding;56;12;95;81;3;0.125279642;0.141176471;0.150078989;0.127962085;0.015306122
golf;55;5;171;159;2;0.123042506;0.058823529;0.27014218;0.251184834;0.010204082
liberal;46;5;74;85;3;0.102908277;0.058823529;0.116903633;0.134281201;0.015306122
buddhism;44;8;59;101;4;0.098434004;0.094117647;0.093206951;0.159557662;0.020408163
