Name of List A,Name of List B,Maximum Overlapping people,Number of 10% overlaps with other groups,Details
yoga,meditation,20,0,""
youtube,beauty,11,0,""
etsy,handmade,54,1,"handmade,54"
poker,gambling,10,0,""
dance,director,2,0,""
cinema,hollywood,23,1,"hollywood,23"
poetry,literature,19,0,""
history,archaeology,30,1,"archaeology,30"
outdoors,hiking,57,4,"hiking,57,hunting,26,nature,34,climbing,36"
gardening,agriculture,2,0,""
rapper,singer,28,1,"singer,28"
handmade,etsy,54,1,"etsy,54"
anime,animation,2,0,""
php,database,10,0,""
college,university,40,1,"university,40"
linux,opensource,66,1,"opensource,66"
restaurant,dining,61,3,"dining,61,food,26,chef,27"
baseball,reporter,20,0,""
guitar,musician,3,0,""
theatre,theater,77,1,"theater,77"
beer,dining,1,0,""
musician,singer,89,2,"singer,89,hollywood,40"
tech,smartphone,26,4,"blogs,21,ceo,25,smartphone,26,mac,22"
marketing,advertising,29,1,"advertising,29"
sport,football,68,1,"football,68"
fashion,shopping,59,3,"magazine,40,beauty,46,shopping,59"
photography,multimedia,25,1,"multimedia,25"
politics,news,57,3,"news,57,reporter,32,liberal,42"
news,politics,57,7,"magazine,23,economics,29,blogs,24,politics,57,newspaper,35,reporter,22,finance,34"
gaming,developer,16,0,""
comedy,funny,121,5,"funny,121,director,22,hollywood,32,jokes,28,actor,44"
food,chef,78,6,"dining,31,chef,78,cooking,40,recipes,48,restaurant,26,baking,31"
advertising,marketing,29,1,"marketing,29"
realestate,investor,4,0,""
football,sport,68,1,"sport,68"
actor,hollywood,102,6,"drama,45,funny,39,tvshows,48,director,38,comedy,44,hollywood,102"
radio,comedy,4,0,""
wine,food,9,0,""
beauty,fashion,46,3,"magazine,28,fashion,46,shopping,32"
finance,economics,56,3,"economics,56,news,34,trading,39"
golf,sport,4,0,""
sustainability,ecology,50,4,"ecology,50,energy,37,nature,21,climatechange,22"
publishing,literature,76,2,"literature,76,writing,40"
charity,philanthropy,49,4,"activism,34,poverty,26,philanthropy,49,justice,36"
architecture,construction,9,0,""
mobile,smartphone,69,1,"smartphone,69"
branding,marketing,11,0,""
mac,iphone,48,4,"ipad,30,iphone,48,developer,33,tech,22"
cycling,fitness,3,0,""
wedding,baking,2,0,""
comics,animation,5,0,""
running,fitness,8,0,""
accounting,legal,1,0,""
airlines,aviation,59,1,"aviation,59"
astrology,"",0,0,""
astronomy,physics,58,1,"physics,58"
automotive,racing,2,0,""
basketball,reporter,10,0,""
ceo,tech,25,1,"tech,25"
dating,marriage,6,0,""
healthcare,medicine,59,2,"medicine,59,pharma,37"
hiking,outdoors,57,1,"outdoors,57"
hospitality,restaurant,16,0,""
investor,tech,7,0,""
java,database,6,0,""
lawyer,legal,81,1,"legal,81"
perl,opensource,2,0,""
python,developer,5,0,""
religion,islam,6,0,""
ruby,developer,12,0,""
sailing,charity,1,0,""
surfing,skateboarding,9,0,""
tennis,sport,9,0,""
trading,finance,39,2,"economics,23,finance,39"
linguistics,writing,3,0,""
literacy,teaching,14,0,""
poverty,justice,36,3,"charity,26,philanthropy,28,justice,36"
archaeology,history,30,2,"anthropology,21,history,30"
database,php,10,0,""
neuroscience,psychology,38,1,"psychology,38"
filmfestival,documentary,12,0,""
sociology,anthropology,8,0,""
chemistry,physics,13,0,""
anthropology,archaeology,21,1,"archaeology,21"
marriage,dating,6,0,""
nursing,healthcare,5,0,""
activism,justice,72,5,"charity,34,humanrights,47,liberal,26,philanthropy,35,justice,72"
climbing,outdoors,36,1,"outdoors,36"
ipad,iphone,37,2,"mac,30,iphone,37"
pharma,healthcare,37,2,"medicine,21,healthcare,37"
reporter,politics,32,2,"news,22,politics,32"
storage,database,1,0,""
physics,astronomy,58,1,"astronomy,58"
pregnancy,parenting,15,0,""
banking,finance,6,0,""
homeschool,school,136,1,"school,136"
genealogy,history,6,0,""
agriculture,nutrition,6,0,""
buddhism,meditation,40,1,"meditation,40"
toys,magazine,1,0,""
climatechange,ecology,28,2,"ecology,28,sustainability,22"
islam,religion,6,0,""
hunting,outdoors,26,1,"outdoors,26"
cancer,charity,10,0,""
fantasy,baseball,15,0,""
theater,theatre,77,1,"theatre,77"
multimedia,photography,25,1,"photography,25"
jewish,religion,5,0,""
romance,author,25,1,"author,25"
jokes,funny,36,2,"funny,36,comedy,28"
weather,news,11,0,""
engineering,construction,12,0,""
legal,lawyer,81,1,"lawyer,81"
newspaper,news,35,1,"news,35"
rugby,sport,3,0,""
aviation,airlines,59,1,"airlines,59"
wrestling,hollywood,1,0,""
highered,college,18,0,""
peace,activism,15,0,""
horror,director,10,0,""
philanthropy,charity,49,4,"charity,49,activism,35,poverty,28,justice,37"
racing,motorcycle,18,0,""
chef,food,78,6,"dining,29,food,78,cooking,23,recipes,23,restaurant,27,baking,21"
humanrights,activism,47,2,"activism,47,justice,39"
insurance,exercise,2,0,""
jazz,piano,1,0,""
career,employment,47,1,"employment,47"
military,veteran,68,2,"army,48,veteran,68"
energy,sustainability,37,2,"ecology,29,sustainability,37"
exercise,fitness,49,2,"nutrition,25,fitness,49"
flash,developer,4,0,""
construction,engineering,12,0,""
university,college,40,1,"college,40"
motorcycle,racing,18,0,""
vegetarian,recipes,5,0,""
skiing,outdoors,3,0,""
recipes,cooking,58,4,"food,48,chef,23,cooking,58,baking,29"
opensource,linux,66,1,"linux,66"
animation,comics,5,0,""
skateboarding,surfing,9,0,""
medicine,healthcare,59,2,"healthcare,59,pharma,21"
management,innovation,12,0,""
director,actor,38,4,"screenwriter,32,comedy,22,hollywood,36,actor,38"
nature,outdoors,34,3,"ecology,31,outdoors,34,sustainability,21"
swimming,fitness,4,0,""
economics,finance,56,3,"news,29,trading,23,finance,56"
magazine,fashion,40,4,"blogs,27,news,23,beauty,28,fashion,40"
children,charity,15,0,""
fishing,hunting,19,0,""
psychology,mentalhealth,41,2,"neuroscience,38,mentalhealth,41"
literature,publishing,76,3,"author,21,writing,38,publishing,76"
hockey,sport,1,0,""
philosophy,meditation,8,0,""
nutrition,fitness,38,2,"exercise,25,fitness,38"
parenting,pregnancy,15,0,""
blogs,magazine,27,3,"magazine,27,news,24,tech,21"
iphone,mac,48,3,"ipad,37,mac,48,developer,30"
cooking,recipes,58,4,"food,40,chef,23,recipes,58,baking,23"
singer,musician,89,3,"rapper,28,musician,89,hollywood,51"
developer,mac,33,3,"mac,33,html,31,iphone,30"
publicrelations,marketing,7,0,""
writing,publishing,40,3,"author,23,literature,38,publishing,40"
author,romance,25,3,"literature,21,writing,23,romance,25"
fitness,exercise,49,2,"exercise,49,nutrition,38"
funny,comedy,121,4,"comedy,121,hollywood,31,jokes,36,actor,39"
shopping,fashion,59,2,"beauty,32,fashion,59"
drama,actor,45,3,"tvshows,42,hollywood,35,actor,45"
ecology,sustainability,50,4,"energy,29,sustainability,50,nature,31,climatechange,28"
piano,musician,2,0,""
dining,restaurant,61,3,"food,31,chef,29,restaurant,61"
realitytv,hollywood,17,0,""
html,developer,31,1,"developer,31"
army,military,48,2,"veteran,30,military,48"
innovation,tech,20,0,""
smartphone,mobile,69,2,"mobile,69,tech,26"
teaching,literacy,14,0,""
geography,nature,3,0,""
magician,comedy,3,0,""
hacking,iphone,18,0,""
tvshows,actor,48,3,"drama,42,hollywood,45,actor,48"
employment,career,47,1,"career,47"
gambling,poker,10,0,""
composer,jazz,1,0,""
biology,medicine,13,0,""
housing,poverty,8,0,""
mathematics,physics,9,0,""
democrat,politics,19,0,""
documentary,filmfestival,12,0,""
dental,"",0,0,""
mentalhealth,psychology,41,1,"psychology,41"
veteran,military,68,2,"army,30,military,68"
drums,musician,2,0,""
hollywood,actor,102,9,"drama,35,funny,31,cinema,23,tvshows,45,singer,51,musician,40,director,36,comedy,32,actor,102"
baking,food,31,4,"food,31,chef,21,cooking,23,recipes,29"
school,homeschool,136,1,"homeschool,136"
lesbian,justice,4,0,""
justice,activism,72,5,"charity,36,activism,72,poverty,36,humanrights,39,philanthropy,37"
liberal,politics,42,2,"activism,26,politics,42"
meditation,buddhism,40,1,"buddhism,40"
screenwriter,director,32,1,"director,32"
