community name,# lists,total members on lists,# members with threshold 1000,# members with threshold 100,# members with threshold 10,#listings 1st member,# listings for 50th member,# listings for 100th member,# listings for 200th member,# listings for 1000th member
yoga,2782,10320,0,14,494,346,51,35,22,6
youtube,2635,7586,0,37,390,479,76,47,22,4
etsy,3147,14974,0,2,905,180,39,33,27,10
poker,7753,10632,0,86,766,786,151,93,45,7
dance,1538,14952,0,5,347,110,45,32,18,4
cinema,742,11872,0,0,234,91,29,19,12,3
poetry,846,7552,0,0,205,95,20,15,11,3
history,1307,9979,0,4,211,169,26,18,11,3
outdoors,883,10613,0,1,122,119,18,12,8,3
gardening,1286,6536,0,0,243,72,25,18,13,3
rapper,232,4565,0,0,117,53,20,12,7,2
handmade,1274,11726,0,1,565,118,29,26,24,4
anime,1017,13236,0,1,171,126,20,14,10,3
php,1616,4296,0,11,212,175,40,20,11,2
college,681,10191,0,0,160,60,17,13,9,4
publishing,3784,19415,0,20,695,280,61,42,27,8
linux,1694,5717,0,13,192,334,34,22,10,2
restaurant,871,21358,0,0,161,45,16,13,10,5
baseball,4418,11270,0,50,912,457,102,69,48,9
guitar,822,5839,0,2,121,162,18,13,7,2
theatre,2579,13831,0,4,435,175,36,26,18,6
beer,107,4932,0,0,217,76,24,17,11,3
musician,NaN,33356,0,176,2724,571,198,144,92,32
tech,NaN,137325,69,1075,11179,4939,1274,740,445,107
marketing,NaN,139084,8,857,14037,1477,481,332,240,91
sport,NaN,49380,0,230,3542,808,213,159,109,32
fashion,18707,69052,15,353,2974,2911,522,334,180,44
photography,NaN,68938,147,2042,19858,6938,2013,1266,763,200
politics,NaN,84282,138,1631,15841,8775,1868,1236,724,161
news,NaN,165902,118,1417,14036,9928,1845,1167,572,139
gaming,4647,16728,0,40,643,432,91,50,29,7
comedy,NaN,22579,61,631,4038,3202,1149,682,379,55
food,NaN,123415,283,4198,37995,12507,4721,2502,1343,362
advertising,NaN,32156,3,283,4600,1594,320,196,129,37
realestate,NaN,14435,0,85,3371,300,135,91,62,28
football,NaN,41937,52,1281,9529,2511,1047,771,554,132
actor,1826,17436,0,75,1012,343,122,85,50,11
radio,NaN,42945,0,105,3136,478,155,104,73,21
wine,9371,37798,0,85,2465,526,128,94,68,25
beauty,3963,17814,0,4,757,193,48,33,22,7
finance,NaN,20716,0,89,1721,556,142,95,62,17
golf,NaN,17167,166,1272,7912,8889,2713,1490,796,142
sustainability,NaN,16865,0,256,5896,763,256,181,116,42
publishing,3784,19415,0,20,695,280,61,42,27,8
charity,1222,7889,0,1,278,111,25,16,12,2
architecture,4346,14084,0,17,661,400,56,35,23,6
mobile,2053,19621,0,14,580,166,49,33,22,7
branding,3058,7301,0,0,635,68,32,30,29,3
mac,1124,8162,0,5,195,152,28,17,10,3
cycling,4644,15358,0,105,1028,801,184,104,56,11
wedding,7072,21085,0,45,800,367,91,55,32,9
comics,6106,15030,0,101,1126,487,142,101,55,12
innovation,17,940,0,0,2,12,8,7,7,
running,2090,11091,0,11,396,537,45,29,17,5
accounting,NaN,3133,0,89,1810,299,119,95,74,25
airlines,NaN,3446,0,251,1802,540,247,188,124,28
astrology,NaN,2372,0,307,1377,531,319,230,143,17
astronomy,NaN,3520,0,469,2033,987,440,322,225,37
automotive,NaN,14373,8,787,7441,1258,533,421,277,84
basketball,NaN,11024,43,652,4334,2414,965,689,407,57
ceo,NaN,7534,0,21,562,157,66,39,25,7
dating,NaN,3617,0,50,1285,246,101,69,46,15
healthcare,NaN,16046,0,278,3218,560,212,171,121,35
hiking,NaN,2868,0,26,1337,214,80,62,43,16
hospitality,NaN,8587,0,8,794,153,50,37,25,9
ibm,NaN,5721,4,557,3090,1209,485,372,230,55
intel,NaN,1401,0,45,425,221,94,62,36,1
investor,NaN,3429,0,11,453,158,54,36,25,5
java,NaN,2705,0,8,538,281,49,30,19,4
lawyer,NaN,13065,0,200,5102,488,174,131,101,40
oracle,NaN,2097,0,139,1006,964,179,125,81,11
perl,NaN,1323,0,35,450,298,83,44,24,1
python,NaN,2962,0,99,1113,773,170,100,49,12
religion,NaN,10708,0,51,1261,385,104,66,43,14
ruby,NaN,6055,3,288,2682,1302,415,243,137,33
sailing,NaN,3531,0,101,1692,443,137,101,64,19
surfing,NaN,2204,0,69,598,346,118,78,41,6
tennis,NaN,7313,142,997,4411,5572,2069,1289,760,100
trading,NaN,7622,0,149,3086,707,186,125,84,28
geography,106,1352,0,0,1,14,3,2,2,1
columnist,14,381,0,0,0,4,3,2,1,
linguistics,315,1851,0,0,26,41,8,6,4,1
literacy,312,2955,0,0,16,27,6,4,3,1
alternativehealth,4,239,0,0,0,2,1,1,1,
dental,347,3985,0,0,15,19,7,5,4,2
veteran,182,2120,0,0,11,20,6,4,2,1
smartphone,53,1551,0,0,1,13,2,2,1,1
seniors,91,829,0,0,0,10,3,2,1,
html,28,1118,0,0,0,10,4,2,1,1
diversity,129,1236,0,0,3,13,3,2,1,1
sculpture,42,438,0,0,0,9,2,2,1,
poverty,161,2447,0,0,6,22,4,3,2,1
archaeology,610,1878,0,0,67,59,12,8,5,1
database,67,800,0,0,3,29,2,1,1,
neuroscience,396,2258,0,0,55,33,11,8,5,1
army,27,1207,0,0,0,10,2,1,1,1
filmfestival,336,977,0,0,18,25,7,5,3,
sociology,307,1691,0,0,33,35,8,5,3,1
chemistry,248,1568,0,0,15,49,6,4,2,1
housing,112,2013,0,0,5,17,5,3,2,1
justice,155,7054,0,0,18,21,7,5,4,2
drums,94,519,0,0,8,20,3,2,1,
ecology,24,2068,0,0,0,6,2,2,1,1
mathematics,121,1283,0,0,7,18,3,2,1,1
anthropology,592,1300,0,0,37,51,9,6,3,1
collectibles,58,1043,0,0,0,8,3,2,1,1
magician,225,886,0,0,3,14,5,3,2,
