Person ID,Person Name,Private?,Statuses Count,Number of Tweets,Number of Retweets,Retweet Count,Friends Count,Friends_IDS,Followers Count
181,yogadork,false,12409,3195,2476,40588,5421,5421,16830
171,YogaNews,false,204,202,3019,41228,1675,1675,28724
228,CoraYoga,false,19266,3190,4462,46365,3332,3332,7050
169,Virtual_Yoga,false,15076,3195,7872,209916,30301,0,29705
174,Gaiam,false,6197,3193,12129,215364,3307,3307,21637
194,yogarevelation,false,1204,1197,12691,216590,6247,6247,6970
207,MyYogaOnline,false,5299,3195,14220,220753,13522,0,25354
218,IntegralYogaMag,false,5823,3189,18427,240065,306,306,10365
256,Yoga_Journal,false,1380,1383,25470,249298,148,148,74829
215,LAYOGAMAGAZINE,false,3522,3191,27541,288901,4784,4784,10181
206,BobWeisenberg,false,7798,3198,28711,290893,13704,0,14716
257,YogaBear,false,3971,3197,29914,292828,1234,1234,10036
259,YogaUpdates,false,1889,1889,30343,293313,20789,0,24056
180,TaraStiles,false,8949,3192,33523,317611,1079,1079,19824
196,YogaDirect,false,2030,2025,33641,318236,2114,2114,7010
260,yogaweb,false,15660,3199,34045,318725,24031,0,26176
197,yogafinds,false,169,169,34059,318741,1284,1284,7469
248,YogaTag,false,947,945,34102,318803,1625,1625,4049
258,FlyingYogini,false,30912,3199,34390,360867,1234,1234,3879
222,MandukaYoga,false,3594,3197,37589,364755,1660,1660,10684
211,IntegralHack,false,5284,3191,37719,366752,4826,4826,5409
243,yogasanctuary,false,6152,3195,38057,372020,1419,1419,4484
261,whollyyoga,false,12142,3202,38356,388243,687,687,3507
265,everythingyoga,false,519,521,39753,389896,10476,0,14538
202,lotuspad,false,9375,3200,40228,416270,4902,4902,6194
263,anusarafriend,false,1768,1766,43559,421517,147,147,15203
262,innerspaceyoga,false,13379,3195,43675,485454,1914,1914,2468
231,unitedyogis,false,15690,3200,43857,485642,3106,3106,4017
172,skyyogastudio,false,4470,3194,44069,486233,10346,0,18477
270,elephantjournal,false,32420,3200,49228,491973,20458,0,50548
242,Yoga_Hive,false,9494,3200,49528,492308,298,298,3583
264,KripaluCenter,false,917,921,50786,493869,2850,2850,9017
237,bendyoga,false,695,695,50788,493876,757,757,4231
266,yogadeals,false,6138,3207,51279,521358,1815,1815,3657
267,YogaMamaUK,false,16872,3202,51501,686494,505,505,2533
268,shareyoga,false,1307,1305,51645,690367,1007,1007,2792
221,stillyoga,false,452,456,51778,690613,1303,1303,5509
271,YogaVibes,false,2341,2349,53109,694040,1173,1173,3630
272,rodney_yee,false,904,909,54539,716447,345,345,8853
276,yogoer,false,1856,1861,54795,717829,416,416,2289
275,OMyoga,false,1148,1139,55122,731582,93,93,9057
273,premapadma,false,7300,3193,55266,853292,501,501,2743
280,lululemon,false,28256,3200,60126,861126,111708,0,200036
274,jennyonthelam,false,15740,3199,60217,936404,259,259,1261
269,MitziConnell,false,24684,3195,60867,960286,5117,5117,4668
253,FlorianYoga,false,4886,3198,60933,960383,1452,1452,3348
183,CoreConnecting,false,7863,3193,61386,1030366,8080,8080,8993
278,faithhunteryoga,false,1368,1385,61795,1046751,940,940,4475
279,kathrynbudig,false,3963,3200,65323,1072919,590,590,11366
283,YJEVENTS,false,635,635,65715,1073544,207,207,9940
281,YoGeek,false,12420,3201,65948,1094028,1328,1328,2992
277,ShivaRea,false,247,249,66190,1094301,6020,6020,8280
282,YogaGlo,false,5521,3200,67160,1095395,1206,1206,9384
189,ViriamKaur,false,11520,3194,67462,1131318,7963,7963,7684
285,Rock_My_Soles,false,9107,3202,67525,1132577,2542,2542,2312
287,yisforyogini,false,7341,3200,68939,1138176,483,483,2926
288,ashdyogi,false,28889,3196,68968,1210917,499,499,1302
286,holisticyogini,false,1262,1263,69067,1214381,2153,2153,3441
284,DonnaKFreeman,false,6725,3205,69580,1219201,3664,3664,3604
290,davekennedy,false,5250,3199,69878,1224295,219,219,1770
223,YYoga,false,2306,2300,71258,1226891,4729,4729,7146
289,jodim,false,9117,3200,71348,1227218,1143,1143,1967
224,PureYogaHK,false,3638,3200,71508,1227437,2475,2475,5365
219,lucyactivewear,false,691,688,71731,1227776,803,803,7052
294,YogaGuide,false,1,1,71732,1227777,7,7,20889
291,yoga_peace,false,567,565,71904,1227994,788,788,10225
296,lkaminoff,false,1460,1469,72171,1230508,377,377,2480
293,BaptisteYoga,false,575,570,74888,1233920,626,626,7547
292,CorePowerYoga,false,1565,1579,75381,1234636,2332,2332,19272
297,WellnessYogini,false,4807,3200,75661,1239961,1268,1268,2225
295,snowflakeyoga,false,3746,3190,75854,1255708,2684,2684,2473
298,yogabrooks,false,3779,3200,76103,1372798,2189,2189,2210
200,SwSatchidananda,false,1345,1346,94562,1396911,2,2,12059
300,ayogist,false,16306,3200,94929,1432746,1629,1629,3391
299,YI_Mag,false,1355,1352,95802,1440452,1823,1823,7340
187,yogamomz,false,12043,0,95802,1440452,8077,8077,7209
302,dianecesa,false,2068,2064,95909,1440733,1367,1367,1950
301,Durgamaa,false,26201,3187,96760,1461441,1762,1762,2519
304,sadienardini,false,1784,1802,97419,1464028,151,151,6441
195,stephanieyogini,false,5446,3198,97620,1474997,6725,6725,6728
229,zenpeacekeeper,false,13384,3196,98655,1476245,1744,1744,5719
303,theyogapage,false,375,375,99007,1476681,1167,1167,3153
305,Urban_Zen,false,15958,3200,106956,1486442,399,399,16887
306,DailyCupofYoga,false,1363,1365,108107,1521238,608,608,9721
308,sevapuri,false,2125,2124,108385,1522843,299,299,1594
309,JudithYoga,false,454,455,109975,1531520,12,12,3692
188,YogaDelMar,false,700,700,110130,1531702,6550,6550,7920
307,MindandBodyYoga,false,535,534,110170,1531786,1826,1826,2815
208,lindsayyoga,false,7059,3200,110423,1532085,5196,5196,5283
234,kimvidya,false,3689,3159,111295,1557956,2670,2670,4773
312,spoiledyogi,false,3116,3111,111838,1576338,511,511,3202
310,IyengarYogaNC,false,497,497,112076,1576609,2653,2653,2502
313,Trikaya,false,2126,2125,112182,1591815,346,346,4103
311,YogaSutras,false,393,391,113181,1593712,2341,2341,7972
318,lasara_allen,false,6790,3193,113284,1594407,11670,0,11198
314,LDYoga,false,2571,2571,113347,1597929,1203,1203,1209
315,YOGANONYMOUS,false,7828,3201,114739,1600084,253,253,6645
