bonding_tie_type,#_ties_w_retweets,#_ties_w_o_retweets,#_retweets,%_of_total,retweets/#_ties_w_o_retweets,retweets/#_ties_w_retweets,std
2.0,2862,14970,8358.0,0.0198939504426,0.558316633267,2.92033542977,5.45209223516
3.0,1715,7301,5829.0,0.0108464164811,0.798383783043,3.39883381924,6.6724793853
4.0,1118,4443,3513.0,0.00873604960569,0.790681971641,3.14221824687,6.02413061288
5.0,726,2881,2660.0,0.0049185552921,0.923290524124,3.66391184573,9.49437955317
6.0,545,2002,2167.0,0.00473987434383,1.08241758242,3.97614678899,7.11410150326
7.0,414,1558,1548.0,0.00281060302405,0.993581514763,3.73913043478,8.3170603559
8.0,338,1143,1411.0,0.00280577380924,1.23447069116,4.17455621302,12.3413843152
9.0,301,870,1092.0,0.00191478367532,1.25517241379,3.62790697674,6.30622894654
10.0,228,722,907.0,0.00257155689057,1.25623268698,3.97807017544,8.17862274225
11.0,215,582,951.0,0.00148981277134,1.63402061856,4.42325581395,8.71205626034
12.0,172,538,748.0,0.00102620814882,1.39033457249,4.3488372093,11.2008797847
13.0,141,419,886.0,0.000746113689375,2.11455847255,6.28368794326,18.2703597658
14.0,143,354,886.0,0.000823381126463,2.50282485876,6.1958041958,16.4198663322
15.0,104,297,407.0,0.000548115881839,1.37037037037,3.91346153846,10.92642402
16.0,87,283,267.0,0.000618139496699,0.943462897527,3.06896551724,4.10156433137
17.0,82,249,478.0,0.000560188918884,1.91967871486,5.82926829268,15.7455412799
18.0,93,205,430.0,0.000589164207791,2.09756097561,4.62365591398,9.01601201507
19.0,65,168,295.0,0.000364605718756,1.75595238095,4.53846153846,7.43603890228
20.0,61,162,297.0,0.000939282282094,1.83333333333,4.86885245902,7.87499760049
21.0,52,158,148.0,0.00030906974835,0.936708860759,2.84615384615,2.97673424168
22.0,38,121,692.0,0.000350118074302,5.71900826446,18.2105263158,77.1704053906
23.0,39,101,172.0,0.000511896770704,1.70297029703,4.41025641026,6.07102385957
24.0,43,110,171.0,0.000347703466893,1.55454545455,3.97674418605,4.81996030136
25.0,35,108,134.0,0.000173851733447,1.24074074074,3.82857142857,7.0891696644
26.0,29,85,234.0,0.00063987096338,2.75294117647,8.06896551724,11.4407952294
27.0,22,71,214.0,0.000106242725995,3.01408450704,9.72727272727,21.7029152172
28.0,26,71,123.0,0.000106242725995,1.7323943662,4.73076923077,8.85158696031
29.0,16,63,78.0,9.89989037682e-05,1.2380952381,4.875,3.96665791316
30.0,29,70,153.0,0.000207656237172,2.18571428571,5.27586206897,6.2527045278
31.0,17,62,44.0,0.000113486548222,0.709677419355,2.58823529412,2.40242092431
32.0,16,67,71.0,0.000132803407494,1.05970149254,4.4375,6.57617622559
33.0,23,64,171.0,0.000120730370449,2.671875,7.4347826087,7.97728343734
34.0,12,32,78.0,0.000103828118586,2.4375,6.5,13.9074320659
35.0,14,48,55.0,8.93404741323e-05,1.14583333333,3.92857142857,4.25045015623
36.0,20,34,80.0,4.10483259527e-05,2.35294117647,4.0,4.87852436706
37.0,17,37,59.0,0.000171437126038,1.59459459459,3.47058823529,4.23038931679
38.0,11,40,178.0,0.000272850637215,4.45,16.1818181818,35.0656998474
39.0,7,27,77.0,9.65842963593e-05,2.85185185185,11.0,14.599412904
40.0,12,24,185.0,9.65842963593e-05,7.70833333333,15.4166666667,40.3411665947
41.0,7,38,185.0,2.17314666808e-05,4.86842105263,26.4285714286,41.2236310276
42.0,8,30,23.0,2.89752889078e-05,0.766666666667,2.875,2.89125837656
44.0,10,16,23.0,9.65842963593e-05,1.4375,2.3,1.1874342087
45.0,9,24,100.0,0.000103828118586,4.16666666667,11.1111111111,24.0298168692
46.0,6,25,22.0,5.79505778156e-05,0.88,3.66666666667,3.59010987142
47.0,11,16,44.0,1.20730370449e-05,2.75,4.0,4.51260859854
49.0,6,23,233.0,4.82921481796e-06,10.1304347826,38.8333333333,75.7439033117
51.0,10,15,127.0,1.20730370449e-05,8.46666666667,12.7,23.3283089829
53.0,8,21,12.0,1.69022518629e-05,0.571428571429,1.5,0.5
54.0,8,14,14.0,2.41460740898e-06,1.0,1.75,1.39194109071
59.0,6,17,33.0,0.0,1.94117647059,5.5,7.25143663927
ff_non_recip,13961,161287,43775.0,0.141773674018,0.271410591058,3.1355203782,8.9089883517
at_non_recip_w1,6011,44432,16549.0,0.0414708822493,0.372456787901,2.75311928132,8.17307406953
no_tie,11430,0,25641.0,0,0,2.24330708661,8.48159121793
at_recip,6650,20773,23411.0,0.0217556127549,1.12699176816,3.52045112782,10.479365465
ff_recip,52555,310385,265869.0,0.185586725454,0.856578120721,5.05887165826,14.4477510446
