bridging_at_strength,bridging_retweets,bridging_no_retweets,bridging_retweets/no_retweets,std
2.0,8000.0,43040,0.185873605948,5.0804938623
3.0,4724.0,17803,0.265348536763,10.0410406281
4.0,2560.0,9866,0.259476991689,2.21442503583
5.0,2136.0,5799,0.368339368857,3.16781559308
6.0,2520.0,3911,0.644336486832,23.880636803
7.0,1322.0,2648,0.499244712991,4.61126854742
8.0,1046.0,1945,0.537789203085,3.54755171276
9.0,732.0,1522,0.480946123522,4.34673229365
10.0,696.0,1197,0.581453634085,3.20148831174
11.0,1114.0,928,1.20043103448,10.2908424235
12.0,474.0,766,0.618798955614,2.16612039424
13.0,398.0,651,0.611367127496,2.15582887551
14.0,640.0,552,1.15942028986,18.0929697826
15.0,320.0,444,0.720720720721,3.14754098361
16.0,260.0,399,0.651629072682,2.7921833595
17.0,250.0,318,0.786163522013,3.62756981462
18.0,202.0,283,0.713780918728,2.07302725472
19.0,506.0,252,2.00793650794,20.7692161505
20.0,306.0,232,1.31896551724,7.14690526365
21.0,244.0,204,1.19607843137,4.13432120942
22.0,100.0,159,0.62893081761,2.4404006957
23.0,194.0,163,1.19018404908,6.75754386541
24.0,110.0,157,0.700636942675,1.83811991101
25.0,36.0,112,0.321428571429,0.957427107756
26.0,58.0,97,0.59793814433,3.1448370387
27.0,86.0,100,0.86,2.71142039419
28.0,152.0,97,1.56701030928,5.23402920592
29.0,120.0,93,1.29032258065,3.83242742919
30.0,56.0,78,0.717948717949,1.41421356237
31.0,164.0,66,2.48484848485,16.7162226225
32.0,42.0,76,0.552631578947,3.02371578407
33.0,84.0,47,1.78723404255,5.32541078228
34.0,16.0,59,0.271186440678,0.349927106112
35.0,82.0,49,1.67346938776,5.43877255579
36.0,62.0,46,1.34782608696,5.98377435701
37.0,32.0,56,0.571428571429,2.03960780544
38.0,56.0,36,1.55555555556,2.5
39.0,36.0,39,0.923076923077,2.87228132327
40.0,58.0,36,1.61111111111,3.27014946922
41.0,20.0,41,0.487804878049,0.866025403784
42.0,42.0,31,1.35483870968,3.34477204006
43.0,38.0,35,1.08571428571,4.1665333312
45.0,68.0,26,2.61538461538,3.94405318873
46.0,14.0,27,0.518518518519,0.8
47.0,94.0,14,6.71428571429,18.0468141233
55.0,78.0,13,6.0,8.83176086633
60.0,92.0,10,9.2,14.0342438343
61.0,46.0,14,3.28571428571,4.7842333648
ff_non_recip,5079.0,796421,0.006377280358,16.1725181672
at_non_recip_w1,16454.0,182377,0.0902197097222,5.63105803456
no_tie,123812.0,0,0,5.88063972982
at_recip,19622.0,18027,1.08847839352,4.98835157613
ff_recip,77613.0,922491,0.0841341541543,10.8207767662
