bonding_at_strength,bonding_retweets,bonding_no_retweets,bonding_retweets/no_retweets
1.0,16549.0,44432,0.372456787901
2.0,8358.0,14970,0.558316633267
3.0,5829.0,7301,0.798383783043
4.0,3513.0,4443,0.790681971641
5.0,2660.0,2881,0.923290524124
6.0,2167.0,2002,1.08241758242
7.0,1548.0,1558,0.993581514763
8.0,1411.0,1143,1.23447069116
9.0,1092.0,870,1.25517241379
10.0,907.0,722,1.25623268698
11.0,951.0,582,1.63402061856
12.0,748.0,538,1.39033457249
13.0,886.0,419,2.11455847255
14.0,886.0,354,2.50282485876
15.0,407.0,297,1.37037037037
16.0,267.0,283,0.943462897527
17.0,478.0,249,1.91967871486
18.0,430.0,205,2.09756097561
19.0,295.0,168,1.75595238095
20.0,297.0,162,1.83333333333
21.0,148.0,158,0.936708860759
22.0,692.0,121,5.71900826446
23.0,172.0,101,1.70297029703
24.0,171.0,110,1.55454545455
25.0,134.0,108,1.24074074074
26.0,234.0,85,2.75294117647
27.0,214.0,71,3.01408450704
28.0,123.0,71,1.7323943662
29.0,78.0,63,1.2380952381
30.0,153.0,70,2.18571428571
31.0,44.0,62,0.709677419355
32.0,71.0,67,1.05970149254
33.0,171.0,64,2.671875
34.0,78.0,32,2.4375
35.0,55.0,48,1.14583333333
36.0,80.0,34,2.35294117647
37.0,59.0,37,1.59459459459
38.0,178.0,40,4.45
39.0,77.0,27,2.85185185185
40.0,185.0,24,7.70833333333
41.0,185.0,38,4.86842105263
42.0,23.0,30,0.766666666667
43.0,37.0,29,1.27586206897
44.0,23.0,16,1.4375
45.0,100.0,24,4.16666666667
46.0,22.0,25,0.88
47.0,44.0,16,2.75
48.0,32.0,17,1.88235294118
49.0,233.0,23,10.1304347826
50.0,29.0,14,2.07142857143
51.0,127.0,15,8.46666666667
52.0,13.0,17,0.764705882353
53.0,12.0,21,0.571428571429
54.0,14.0,14,1.0
55.0,25.0,13,1.92307692308
56.0,28.0,9,3.11111111111
57.0,24.0,14,1.71428571429
58.0,109.0,11,9.90909090909
59.0,33.0,17,1.94117647059
60.0,38.0,9,4.22222222222
61.0,3.0,9,0.333333333333
62.0,8.0,19,0.421052631579
63.0,30.0,15,2.0
64.0,2.0,8,0.25
65.0,2.0,8,0.25
66.0,14.0,12,1.16666666667
67.0,4.0,6,0.666666666667
68.0,19.0,7,2.71428571429
69.0,5.0,10,0.5
70.0,16.0,5,3.2
71.0,25.0,8,3.125
72.0,11.0,8,1.375
73.0,3.0,11,0.272727272727
74.0,6.0,5,1.2
75.0,3.0,7,0.428571428571
76.0,15.0,10,1.5
77.0,13.0,3,4.33333333333
78.0,3.0,5,0.6
79.0,14.0,6,2.33333333333
80.0,17.0,5,3.4
81.0,14.0,4,3.5
83.0,56.0,4,14.0
84.0,3.0,5,0.6
85.0,2.0,1,2.0
86.0,7.0,2,3.5
87.0,7.0,3,2.33333333333
88.0,34.0,4,8.5
89.0,6.0,4,1.5
90.0,1.0,4,0.25
93.0,4.0,2,2.0
94.0,9.0,2,4.5
95.0,1.0,3,0.333333333333
99.0,14.0,6,2.33333333333
100.0,8.0,2,4.0
101.0,57.0,3,19.0
102.0,409.0,3,136.333333333
103.0,18.0,3,6.0
105.0,18.0,2,9.0
107.0,1.0,2,0.5
110.0,71.0,1,71.0
115.0,1.0,1,1.0
119.0,1.0,3,0.333333333333
124.0,5.0,1,5.0
