bridging_at_strength,bridging_retweets,bridging_no_retweets,bridging_retweets/no_retweets
1.0,17175.0,178764,0.0960763912197
2.0,8239.0,41566,0.198214887167
3.0,4492.0,17137,0.262122891988
4.0,3618.0,9390,0.385303514377
5.0,2037.0,5486,0.371308786001
6.0,1963.0,3697,0.530971057614
7.0,1164.0,2516,0.462639109698
8.0,1162.0,1847,0.629128316188
9.0,793.0,1426,0.556100981767
10.0,1065.0,1106,0.962929475588
11.0,617.0,901,0.684794672586
12.0,425.0,722,0.58864265928
13.0,309.0,636,0.485849056604
14.0,341.0,511,0.667318982387
15.0,227.0,432,0.525462962963
16.0,256.0,377,0.679045092838
17.0,232.0,302,0.76821192053
18.0,244.0,275,0.887272727273
19.0,151.0,237,0.637130801688
20.0,389.0,227,1.71365638767
21.0,128.0,193,0.663212435233
22.0,145.0,141,1.02836879433
23.0,212.0,142,1.49295774648
24.0,144.0,150,0.96
25.0,72.0,103,0.699029126214
26.0,265.0,91,2.91208791209
27.0,44.0,101,0.435643564356
28.0,44.0,105,0.419047619048
29.0,41.0,93,0.440860215054
30.0,86.0,70,1.22857142857
31.0,47.0,65,0.723076923077
32.0,55.0,68,0.808823529412
33.0,50.0,45,1.11111111111
34.0,43.0,56,0.767857142857
35.0,37.0,48,0.770833333333
36.0,17.0,47,0.36170212766
37.0,71.0,50,1.42
38.0,113.0,34,3.32352941176
39.0,40.0,38,1.05263157895
40.0,40.0,36,1.11111111111
41.0,9.0,40,0.225
42.0,12.0,29,0.413793103448
43.0,13.0,32,0.40625
44.0,40.0,18,2.22222222222
45.0,43.0,25,1.72
46.0,24.0,28,0.857142857143
47.0,5.0,14,0.357142857143
48.0,10.0,23,0.434782608696
49.0,2.0,21,0.0952380952381
50.0,2.0,14,0.142857142857
51.0,5.0,15,0.333333333333
52.0,10.0,15,0.666666666667
53.0,7.0,15,0.466666666667
54.0,1.0,18,0.0555555555556
55.0,33.0,11,3.0
56.0,4.0,11,0.363636363636
58.0,27.0,11,2.45454545455
60.0,1.0,14,0.0714285714286
61.0,4.0,15,0.266666666667
62.0,13.0,8,1.625
63.0,40.0,8,5.0
67.0,11.0,12,0.916666666667
68.0,3.0,7,0.428571428571
70.0,5.0,4,1.25
72.0,1.0,5,0.2
74.0,2.0,7,0.285714285714
76.0,4.0,4,1.0
79.0,1.0,3,0.333333333333
80.0,9.0,5,1.8
83.0,6.0,3,2.0
84.0,4.0,4,1.0
85.0,5.0,2,2.5
86.0,2.0,3,0.666666666667
91.0,87.0,3,29.0
93.0,4.0,6,0.666666666667
96.0,1.0,1,1.0
97.0,3.0,4,0.75
99.0,1.0,1,1.0
100.0,3.0,2,1.5
101.0,2.0,1,2.0
112.0,20.0,2,10.0
113.0,1.0,1,1.0
114.0,1.0,3,0.333333333333
119.0,11.0,1,11.0
