bonding_at_strength,bonding_retweets,bonding_no_retweets,bonding_retweets/no_retweets
1.0,12372.0,45865,0.269748173989
2.0,6670.0,15572,0.428332905214
3.0,3748.0,7676,0.488275143304
4.0,2683.0,4658,0.575998282525
5.0,2038.0,2928,0.696038251366
6.0,1631.0,2046,0.797165200391
7.0,1938.0,1576,1.22969543147
8.0,1038.0,1152,0.901041666667
9.0,771.0,923,0.835319609967
10.0,1142.0,711,1.60618846695
11.0,815.0,603,1.35157545605
12.0,729.0,504,1.44642857143
13.0,591.0,435,1.35862068966
14.0,558.0,360,1.55
15.0,378.0,297,1.27272727273
16.0,416.0,259,1.60617760618
17.0,471.0,231,2.03896103896
18.0,310.0,210,1.47619047619
19.0,210.0,161,1.30434782609
20.0,203.0,159,1.27672955975
21.0,234.0,148,1.58108108108
22.0,255.0,114,2.23684210526
23.0,251.0,107,2.34579439252
24.0,145.0,111,1.30630630631
25.0,224.0,99,2.26262626263
26.0,219.0,69,3.17391304348
27.0,264.0,54,4.88888888889
28.0,214.0,62,3.45161290323
29.0,119.0,49,2.42857142857
30.0,107.0,68,1.57352941176
31.0,228.0,50,4.56
32.0,322.0,53,6.07547169811
33.0,143.0,60,2.38333333333
34.0,119.0,32,3.71875
35.0,120.0,39,3.07692307692
36.0,120.0,30,4.0
37.0,116.0,34,3.41176470588
38.0,256.0,35,7.31428571429
39.0,44.0,23,1.91304347826
40.0,112.0,18,6.22222222222
41.0,53.0,28,1.89285714286
42.0,32.0,26,1.23076923077
43.0,32.0,19,1.68421052632
44.0,36.0,21,1.71428571429
45.0,169.0,16,10.5625
46.0,110.0,17,6.47058823529
47.0,59.0,15,3.93333333333
48.0,29.0,16,1.8125
49.0,82.0,17,4.82352941176
50.0,47.0,10,4.7
51.0,92.0,13,7.07692307692
52.0,51.0,14,3.64285714286
53.0,128.0,17,7.52941176471
54.0,43.0,15,2.86666666667
55.0,33.0,10,3.3
56.0,6.0,10,0.6
57.0,199.0,10,19.9
58.0,43.0,8,5.375
59.0,63.0,11,5.72727272727
60.0,65.0,7,9.28571428571
61.0,9.0,8,1.125
62.0,46.0,16,2.875
63.0,51.0,8,6.375
64.0,48.0,4,12.0
65.0,38.0,3,12.6666666667
66.0,20.0,12,1.66666666667
67.0,5.0,5,1.0
68.0,16.0,9,1.77777777778
69.0,15.0,8,1.875
70.0,19.0,6,3.16666666667
71.0,9.0,7,1.28571428571
72.0,29.0,5,5.8
73.0,34.0,7,4.85714285714
74.0,8.0,6,1.33333333333
75.0,46.0,3,15.3333333333
76.0,12.0,6,2.0
77.0,32.0,4,8.0
78.0,86.0,3,28.6666666667
79.0,46.0,6,7.66666666667
80.0,10.0,5,2.0
81.0,3.0,5,0.6
82.0,8.0,3,2.66666666667
83.0,9.0,3,3.0
84.0,22.0,2,11.0
87.0,10.0,2,5.0
89.0,4.0,4,1.0
90.0,24.0,2,12.0
94.0,2.0,2,1.0
95.0,15.0,1,15.0
98.0,4.0,1,4.0
99.0,18.0,4,4.5
100.0,62.0,2,31.0
101.0,39.0,4,9.75
102.0,8.0,6,1.33333333333
103.0,3.0,1,3.0
105.0,1.0,2,0.5
107.0,2.0,2,1.0
111.0,30.0,1,30.0
115.0,140.0,1,140.0
116.0,18.0,1,18.0
119.0,3.0,2,1.5
130.0,7.0,1,7.0
132.0,4.0,2,2.0
158.0,7.0,1,7.0
