Community,Retweets Inside Community,Retweets between Communities
accounting,3189.0,1083.0
advertising,2352.0,1103.0
agriculture,2064.0,1001.0
airlines_aviation,1840.0,345.0
animation,1249.0,1023.0
anime,2786.0,1998.0
anthropology,2822.0,2908.0
archaeology,1894.0,1224.0
architecture,2251.0,1091.0
army_military_veteran,3924.0,718.0
astrology,2309.0,592.0
astronomy_physics,6305.0,611.0
author,1336.0,3103.0
automotive,2963.0,1198.0
baking,326.0,1113.0
banking,3303.0,1580.0
baseball,4505.0,1031.0
basketball,1738.0,642.0
beauty_fashion_shopping,2677.0,1468.0
beer,1176.0,225.0
biology,2560.0,1543.0
blogs,478.0,1343.0
branding,140.0,2931.0
buddhism,3196.0,1388.0
cancer,5039.0,2513.0
career_employment,4057.0,1401.0
ceo,304.0,3193.0
charity_philanthropy,1514.0,2869.0
chemistry,2672.0,916.0
children,231.0,1036.0
cinema,2653.0,1211.0
climatechange,1046.0,4343.0
climbing,1997.0,876.0
college,1336.0,1833.0
comedy_funny,1236.0,1160.0
comics,4054.0,1721.0
composer,1318.0,1134.0
construction,1712.0,1380.0
cycling,3102.0,276.0
dance,3498.0,554.0
database,1317.0,1403.0
dating,2325.0,804.0
democrat,631.0,476.0
dental,1132.0,430.0
developer,1331.0,2980.0
director,1115.0,4453.0
documentary,2497.0,1718.0
drums,1602.0,498.0
energy,1904.0,1628.0
engineering,533.0,652.0
etsy_handmade,503.0,648.0
exercise_fitness,1333.0,1303.0
fantasy,3999.0,3126.0
filmfestival,411.0,1966.0
finance_economics,2854.0,894.0
fishing,1157.0,431.0
flash,4417.0,1282.0
food_chef,2706.0,1644.0
gambling,665.0,628.0
gaming,2016.0,608.0
gardening,4902.0,1380.0
genealogy,5381.0,1298.0
geography,1870.0,1076.0
golf,3035.0,258.0
guitar,1511.0,306.0
hacking,3813.0,1487.0
healthcare_medicine,4087.0,2602.0
highered,3106.0,1206.0
history,1599.0,767.0
hockey,4700.0,296.0
homeschool_school,2842.0,647.0
horror,1425.0,969.0
hospitality,1105.0,418.0
housing,2499.0,608.0
html,4363.0,1912.0
humanrights_activism_justice,2822.0,4528.0
hunting,1851.0,355.0
innovation,2955.0,2574.0
insurance,1191.0,586.0
investor,2539.0,3073.0
ipad,422.0,1678.0
islam,1007.0,427.0
java,6883.0,1441.0
jazz,2623.0,743.0
jewish,2284.0,1135.0
jokes,1162.0,673.0
lawyer_legal,2927.0,1255.0
lesbian,555.0,795.0
liberal,6054.0,11521.0
linguistics,4629.0,993.0
linux_opensource,546.0,85.0
literacy,3916.0,2066.0
mac_iphone,1235.0,1485.0
magazine,149.0,2170.0
magician,1997.0,674.0
management,401.0,1156.0
marketing,1097.0,1479.0
marriage,3723.0,319.0
mathematics,4091.0,740.0
meditation,159.0,949.0
mobile_smartphone,974.0,788.0
motorcycle,3491.0,382.0
multimedia,2587.0,1781.0
musician_singer,190.0,747.0
nature,4239.0,2727.0
neuroscience,3105.0,1828.0
newspaper,244.0,1576.0
nursing,2985.0,1114.0
nutrition,1956.0,2174.0
outdoors_hiking,2226.0,1276.0
parenting,1700.0,1912.0
peace,3117.0,1644.0
perl,2886.0,1340.0
pharma,3339.0,1836.0
philosophy,2247.0,3264.0
photography,2853.0,999.0
php,6212.0,1511.0
piano,658.0,547.0
poetry,6736.0,1609.0
poker,4094.0,707.0
politics_news,2822.0,4608.0
poverty,2137.0,2653.0
pregnancy,1182.0,549.0
psychology_mentalhealth,2164.0,1636.0
publicrelations,644.0,1373.0
publishing_literature,2976.0,1691.0
python,4512.0,1162.0
racing,4520.0,442.0
radio,857.0,1050.0
rapper,1627.0,1150.0
realestate,805.0,557.0
realitytv,645.0,1158.0
recipes_cooking,450.0,2873.0
religion,3913.0,777.0
reporter,2546.0,3001.0
restaurant_dining,170.0,927.0
romance,6671.0,4572.0
ruby,3973.0,1253.0
rugby,1693.0,189.0
running,4613.0,1104.0
sailing,4308.0,238.0
screenwriter,3189.0,5505.0
skateboarding,4790.0,363.0
skiing,2751.0,459.0
sociology,3037.0,2600.0
sport_football,1852.0,783.0
storage,2620.0,640.0
surfing,4811.0,401.0
sustainability_ecology,2641.0,4257.0
swimming,3637.0,375.0
teaching,2800.0,1129.0
tech,2398.0,3310.0
tennis,7472.0,251.0
theatre_theater,2005.0,567.0
toys,5476.0,537.0
trading,4072.0,3086.0
tvshows_drama_actor_hollywood,435.0,1333.0
university,482.0,953.0
vegetarian,1041.0,1314.0
weather,3353.0,539.0
wedding,2036.0,450.0
wine,1578.0,797.0
wrestling,6264.0,469.0
writing,823.0,2353.0
yoga,2564.0,1014.0
youtube,1896.0,456.0
