bridging_at_strength,bridging_retweets,bridging_no_retweets,bridging_retweets/no_retweets,average,std
2.0,8239.0,41566,0.198214887167,2.39994174192,5.72645396164
3.0,4492.0,17137,0.262122891988,2.57716580608,4.70344725321
4.0,3618.0,9390,0.385303514377,3.18205804749,9.00607212265
5.0,2037.0,5486,0.371308786001,2.54943679599,3.97548766643
6.0,1963.0,3697,0.530971057614,3.51162790698,15.6435973071
7.0,1164.0,2516,0.462639109698,2.91,5.01566545934
8.0,1162.0,1847,0.629128316188,3.64263322884,10.86642469
9.0,793.0,1426,0.556100981767,3.36016949153,7.63643851488
10.0,1065.0,1106,0.962929475588,4.65065502183,10.0492352143
11.0,617.0,901,0.684794672586,4.14093959732,10.8961049221
12.0,425.0,722,0.58864265928,3.05755395683,5.83806633033
13.0,309.0,636,0.485849056604,3.0,4.16410924752
14.0,341.0,511,0.667318982387,3.37623762376,6.85471794619
15.0,227.0,432,0.525462962963,3.1095890411,6.39040728832
16.0,256.0,377,0.679045092838,3.71014492754,9.72387089571
17.0,232.0,302,0.76821192053,3.74193548387,6.00520065973
18.0,244.0,275,0.887272727273,4.97959183673,16.6482085767
19.0,151.0,237,0.637130801688,2.96078431373,3.56431542977
20.0,389.0,227,1.71365638767,9.04651162791,24.433063272
21.0,128.0,193,0.663212435233,3.04761904762,3.65117320318
22.0,145.0,141,1.02836879433,4.39393939394,11.9263888561
23.0,212.0,142,1.49295774648,5.04761904762,9.74912054874
24.0,144.0,150,0.96,5.14285714286,8.27092275779
25.0,72.0,103,0.699029126214,3.42857142857,4.54156914955
26.0,265.0,91,2.91208791209,16.5625,54.432261516
27.0,44.0,101,0.435643564356,2.44444444444,2.33861835332
28.0,44.0,105,0.419047619048,4.4,4.47660585712
29.0,41.0,93,0.440860215054,2.5625,3.53498143559
30.0,86.0,70,1.22857142857,5.375,10.5822670066
31.0,47.0,65,0.723076923077,4.7,4.31393092202
32.0,55.0,68,0.808823529412,3.66666666667,6.68995930896
33.0,50.0,45,1.11111111111,4.16666666667,4.59770474138
34.0,43.0,56,0.767857142857,4.3,3.00166620396
35.0,37.0,48,0.770833333333,3.7,6.49692234831
37.0,71.0,50,1.42,6.45454545455,7.38996415742
38.0,113.0,34,3.32352941176,11.3,28.9242113116
40.0,40.0,36,1.11111111111,5.71428571429,7.22523920937
42.0,12.0,29,0.413793103448,2.0,1.41421356237
43.0,13.0,32,0.40625,1.625,1.31695671911
44.0,40.0,18,2.22222222222,5.71428571429,5.00611870512
45.0,43.0,25,1.72,6.14285714286,6.49018096663
ff_non_recip,58715.0,771661,0.0760891116695,2.15737066432,7.02627705667
at_non_recip_w1,17175.0,178764,0.0960763912197,2.08055723804,4.85820042602
no_tie,48210.0,0,0,0,5.97337032222
at_recip,9010.0,18361,0.490714013398,2.47527472527,5.5382231928
ff_recip,76860.0,922114,0.0833519499758,3.40767013966,10.9403948738
