bonding_at_strength,bonding_retweets,bonding_no_retweets,bonding_retweets/no_retweets,std
2.0,6670.0,15572,0.428332905214,7.6559493327
3.0,3748.0,7676,0.488275143304,5.63642127779
4.0,2683.0,4658,0.575998282525,7.72673168198
5.0,2038.0,2928,0.696038251366,6.28800650551
6.0,1631.0,2046,0.797165200391,8.64090645024
7.0,1938.0,1576,1.22969543147,25.5340703991
8.0,1038.0,1152,0.901041666667,4.27870041945
9.0,771.0,923,0.835319609967,4.26447274086
10.0,1142.0,711,1.60618846695,15.2671121992
11.0,815.0,603,1.35157545605,7.27201945669
12.0,729.0,504,1.44642857143,5.79554118886
13.0,591.0,435,1.35862068966,8.5091724627
14.0,558.0,360,1.55,6.53975494139
15.0,378.0,297,1.27272727273,7.4602249042
16.0,416.0,259,1.60617760618,4.9746537178
17.0,471.0,231,2.03896103896,10.6153615106
18.0,310.0,210,1.47619047619,4.79340757691
19.0,210.0,161,1.30434782609,3.43491064092
20.0,203.0,159,1.27672955975,3.82653028008
21.0,234.0,148,1.58108108108,5.42818021796
22.0,255.0,114,2.23684210526,15.2912465882
23.0,251.0,107,2.34579439252,12.69678889
24.0,145.0,111,1.30630630631,4.0894893205
25.0,224.0,99,2.26262626263,7.82716186174
26.0,219.0,69,3.17391304348,7.37141626675
27.0,264.0,54,4.88888888889,9.49348369892
28.0,214.0,62,3.45161290323,7.68215530981
29.0,119.0,49,2.42857142857,4.42329691017
30.0,107.0,68,1.57352941176,4.53544257312
31.0,228.0,50,4.56,17.8088008811
32.0,322.0,53,6.07547169811,39.5709770188
33.0,143.0,60,2.38333333333,6.17530814835
34.0,119.0,32,3.71875,9.26874976586
35.0,120.0,39,3.07692307692,10.5168871314
36.0,120.0,30,4.0,8.56348838578
37.0,116.0,34,3.41176470588,8.80113629028
38.0,256.0,35,7.31428571429,30.6002450971
39.0,44.0,23,1.91304347826,5.18739731552
40.0,112.0,18,6.22222222222,12.8994209842
41.0,53.0,28,1.89285714286,2.80508682766
42.0,32.0,26,1.23076923077,1.84089350286
43.0,32.0,19,1.68421052632,1.58605030045
45.0,169.0,16,10.5625,18.9906187002
46.0,110.0,17,6.47058823529,8.60943952761
47.0,59.0,15,3.93333333333,8.97643519939
48.0,29.0,16,1.8125,7.26674311886
49.0,82.0,17,4.82352941176,9.64221044275
50.0,47.0,10,4.7,3.73505251422
51.0,92.0,13,7.07692307692,7.36357401146
52.0,51.0,14,3.64285714286,5.93717104352
53.0,128.0,17,7.52941176471,10.354816378
54.0,43.0,15,2.86666666667,7.25905486624
55.0,33.0,10,3.3,4.67540105232
57.0,199.0,10,19.9,38.211238732
58.0,43.0,8,5.375,4.66201404974
59.0,63.0,11,5.72727272727,8.08419239421
60.0,65.0,7,9.28571428571,13.740653389
62.0,46.0,16,2.875,6.36832439151
63.0,51.0,8,6.375,3.64997452725
64.0,48.0,4,12.0,9.01849950565
65.0,38.0,3,12.6666666667,4.23782770691
73.0,34.0,7,4.85714285714,6.33422836497
75.0,46.0,3,15.3333333333,10.1434160365
76.0,12.0,6,2.0,1.03015750728
ff_non_recip,9329.0,171798,0.054302145543,9.89209673102
at_non_recip_w1,12372.0,45865,0.269748173989,10.4913035989
no_tie,74301.0,0,0,9.92531280807
at_recip,24004.0,20672,1.16118421053,8.35833584704
ff_recip,260707.0,311223,0.837685518101,14.0799724403
