Community name,Total number of tweets,Tweets mentioning keyword,Total persons mentioning keyword
archaeology,150708,13767,96
java,179645,9839,99
liberal,318468,2949,95
horror,257734,27575,99
astronomy_physics,230509,5607,93
highered,273451,20703,99
parenting,312529,23746,100
nature,271615,20740,101
marketing,314165,11500,98
surfing,183889,7396,96
wedding,278461,62884,101
magician,206495,5148,97
hospitality,248008,3142,88
jazz,183389,34188,99
meditation,160099,8281,93
piano,189067,14068,96
wrestling,250241,3359,99
blogs,331483,940,76
marriage,185579,34584,100
lesbian,206140,13579,86
climbing,163012,15127,100
engineering,127639,6251,99
finance_economics,311356,3224,93
tennis,220677,25379,98
tech,300105,6853,101
peace,161063,32622,99
storage,214649,19864,101
anthropology,188831,4498,96
banking,226928,9550,97
swimming,200517,9615,100
management,215495,2932,89
trading,305924,8163,100
fantasy,292360,25536,101
hockey,250402,7416,99
islam,174694,4164,81
astrology,185611,25144,98
agriculture,243634,5882,100
dance,244922,28388,101
cycling,202864,16705,101
climatechange,212257,1727,81
fishing,164926,34918,99
humanrights_activism_justice,287362,12398,100
energy,273440,41820,101
wine,299454,109349,100
php,245597,18786,100
cancer,233248,64769,100
html,215824,10293,99
vegetarian,205244,11553,93
jokes,229125,3331,82
gardening,255805,26917,101
charity_philanthropy,284381,14207,99
history,220951,21868,101
magazine,306463,6957,96
branding,259757,5168,95
racing,275871,9268,100
author,318394,4881,100
