Project,Name,Member_count,Competing_Lists,Shared_Language,Shared_Language_Ratio,FF_Nodes,AT_Nodes,RT_Nodes,FF_Edges,AT_Edges,RT_Edges,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,accounting,3133,101,5805,2.21395881,101,101,101,4788,1390,691,0.474059406,0.91,1.489306931,1.958316832,0.740456794,0.50926586,0.635245902,0.346899225,0.571809754,0.326371184,0.315742574,3189
584,advertising,32156,117,3942,0.258085636,101,101,101,3873,1395,522,0.383465347,0.715742574,1.585346535,2.002626263,0.718180879,0.473405015,0.498839009,0.24,0.4765523,0.246695901,0.232871287,2352
584,agriculture,4215,104,4572,1.466794995,101,101,101,5486,1839,779,0.543168317,1.184059406,1.452178218,1.90030303,0.800932423,0.553970259,0.633710542,0.316392269,0.646695585,0.409522558,0.204356436,2064
584,airlines_aviation,7341,103,1949,0.765815324,101,101,101,2814,819,300,0.278613861,0.572970297,1.603535354,1.832990162,0.733162065,0.506232975,0.477941176,0.267801858,0.426561584,0.218054925,0.182178218,1840
584,animation,4857,108,7435,0.991730025,101,101,101,2124,747,458,0.21029703,0.407029703,1.916732673,2.102015677,0.562191214,0.362336283,0.294332724,0.283505155,0.299581307,0.266523868,0.123663366,1249
584,anime,13236,103,9575,8.496007098,101,101,101,2726,1240,643,0.26990099,1.384059406,1.584040404,1.821855922,0.651566883,0.459231187,0.489617486,0.312169312,0.466899434,0.374186631,0.275841584,2786
584,anthropology,1300,118,7717,8.055323591,101,101,101,3970,1161,838,0.393069307,0.527029703,1.510990099,1.990606061,0.697578272,0.443008399,0.556862745,0.375592417,0.496765212,0.275598765,0.279405941,2822
584,archaeology,1878,126,10779,9.72833935,101,101,101,4444,726,596,0.44,0.380594059,1.465940594,1.741993281,0.744039675,0.364328964,0.512593601,0.260416667,0.5148182,0.190253046,0.187524752,1894
584,architecture,14084,117,8780,1.375959881,101,101,101,4098,1052,607,0.405742574,1.00019802,1.553168317,2.058114035,0.733775593,0.421323619,0.433368311,0.213379469,0.490074342,0.272126144,0.222871287,2251
584,army_military_veteran,9451,101,2168,0.353555121,101,101,101,4997,1761,863,0.494752475,1.509504951,1.489108911,1.681386139,0.794861085,0.555770338,0.546101485,0.26964672,0.577079697,0.341466299,0.388514851,3924
