Project,Community,Person_ID,Place_on_list,Shared_Language,Other_language,FF_bin_deg,FF_bin_in_deg,FF_bin_out_deg,FF_vol_in,FF_vol_out,FF_bin_close,FF_bin_page,FF_rec,AT_bin_deg,AT_bin_in_deg,AT_bin_out_deg,AT_bin_close,AT_bin_page,AT_rec,AT_avg,AT_vol_in,AT_vol_out,RT_bin_deg_in,RT_bin_deg_out,RT_vol_in,RT_vol_out,RT_global_vol_in,RT_global_vol_out
584,accounting,DianeKennedyCPA,10,19,0,0.92,0.5,0.42,50,42,0.632911392,0.009623344,0.672727273,0.4,0.22,0.18,0.500478723,0.01095206,0.6,5.3,126,86,0.120879121,0,13,0,19,0
584,accounting,SmoothBkkpng,70,3,0,0.23,0.12,0.11,12,11,0.529100529,0.003242827,0.533333333,0.07,0.02,0.05,0.388801653,0.002220153,0.4,7.714285714,22,32,0.032967033,0.021978022,5,2,5,3
584,accounting,BMcAvoyCPA,74,9,0,0.96,0.37,0.59,37,59,0.709219858,0.007346629,0.6,0.13,0.07,0.06,0.409086957,0.002249088,0.3,1.615384615,10,11,0.021978022,0.076923077,2,16,2,16
584,accounting,AICPA_JofA,2,83,0,1.86,0.88,0.98,88,98,0.980392157,0.020126647,0.878787879,0.63,0.38,0.25,0.519834254,0.045775036,0.465116279,9.904761905,509,115,0.307692308,0.032967033,276,9,277,9
584,accounting,EDavisCPA,39,10,0,0.85,0.42,0.43,42,43,0.636942675,0.008119897,0.734693878,0.2,0.07,0.13,0.487512953,0.00221802,0.333333333,1.7,16,18,0.065934066,0.032967033,6,4,6,5
584,accounting,CharlotteCPA,69,7,0,0.7,0.39,0.31,39,31,0.591715976,0.007678043,0.555555556,0.26,0.14,0.12,0.47045,0.006174118,0.368421053,12.11538462,108,207,0.043956044,0.032967033,5,13,7,15
584,accounting,wrbarefoot,96,44,0,0.88,0.35,0.53,35,53,0.680272109,0.006966271,0.660377358,0.45,0.18,0.27,0.543872832,0.006953584,0.5,4.866666667,88,131,0.043956044,0.087912088,12,19,13,24
584,accounting,briancpaMI,46,2,0,1.3,0.45,0.85,45,85,0.869565217,0.008688861,0.529411765,0.1,0.07,0.03,0.390414938,0.002467617,0.428571429,1.1,8,3,0.010989011,0.076923077,1,8,1,9
584,accounting,JodyPadarCPA,7,59,0,1.62,0.76,0.86,76,86,0.877192982,0.01907261,0.8,0.89,0.53,0.36,0.570242424,0.066195288,0.618181818,14.62921348,869,433,0.153846154,0.098901099,64,22,64,25
584,accounting,westerncpe,82,53,0,0.58,0.23,0.35,23,35,0.606060606,0.005360799,0.657142857,0.05,0.01,0.04,0.363281853,0.002072673,0.25,1.4,1,6,0,0.054945055,0,14,0,14
584,accounting,qbguy,36,54,0,0.88,0.39,0.49,39,49,0.662251656,0.007331784,0.62962963,0.32,0.18,0.14,0.47045,0.01139873,0.6,6.65625,142,71,0.054945055,0.10989011,25,41,25,43
584,accounting,MACPA,11,242,0,1.49,0.69,0.8,69,80,0.833333333,0.014710823,0.8625,0.48,0.3,0.18,0.482512821,0.041763926,0.333333333,13.22916667,314,321,0.21978022,0.208791209,137,52,137,54
584,accounting,dustinwCPA,34,54,0,1.16,0.52,0.64,52,64,0.735294118,0.009671592,0.757575758,0.59,0.24,0.35,0.566807229,0.017531099,0.552631579,11.23728814,223,440,0.142857143,0.032967033,46,3,46,3
584,accounting,MInfanteCPA,32,19,0,1.18,0.56,0.62,56,62,0.724637681,0.010129256,0.594594595,0.52,0.25,0.27,0.553470588,0.017359838,0.485714286,5.865384615,228,77,0.054945055,0.153846154,5,24,5,32
584,accounting,sleetergroup,80,92,0,0.67,0.44,0.23,44,23,0.564971751,0.00838618,0.456521739,0.22,0.13,0.09,0.429634703,0.013297737,0.571428571,3,43,23,0.098901099,0.021978022,13,2,13,4
584,accounting,Atlanta_CPA,40,1,0,1.38,0.51,0.87,51,87,0.884955752,0.009430632,0.586206897,0.02,0.01,0.01,0.301570513,0.001706711,0,1,1,1,0,0.010989011,0,1,0,1
584,accounting,darcangeloCPAs,62,31,0,1.15,0.51,0.64,51,64,0.735294118,0.010010639,0.666666667,0.34,0.11,0.23,0.528595506,0.003438246,0.36,3.352941176,56,58,0.032967033,0.131868132,3,14,3,15
584,accounting,melsteelman,93,24,0,0.97,0.4,0.57,40,57,0.699300699,0.008427246,0.672413793,0.15,0.03,0.12,0.454541063,0.002073625,0.25,4.066666667,5,56,0.021978022,0.043956044,5,25,5,26
584,accounting,adrigonzo,50,55,0,1.22,0.58,0.64,58,64,0.735294118,0.012604698,0.876923077,0.45,0.29,0.16,0.48005102,0.043498135,0.40625,9.111111111,253,157,0.076923077,0.120879121,80,41,84,57
584,accounting,TheTaxAdviser,23,7,0,0.53,0.49,0.04,49,4,0.510204082,0.009627555,0.081632653,0.13,0.08,0.05,0.377871486,0.009357849,0.3,3.615384615,30,17,0.142857143,0.010989011,133,6,133,6
584,accounting,TheDullCPA,14,20,0,1.62,0.64,0.98,64,98,0.980392157,0.011602854,0.653061224,0.34,0.13,0.21,0.519834254,0.002741291,0.307692308,2.441176471,22,61,0.021978022,0.021978022,2,2,2,3
