Name,Group1,Group2,Number_between_ties,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_total_volume_in,RT_total_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
booweekley,golf,theatre_theater,1.0,1,0.1592039801,0.154228855721,0.00497512437811,2.24571586512e-06,31.0,0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0
Titleist,golf,theatre_theater,1.0,1,0.532338308458,0.18407960199,0.348258706468,0.0145460030475,37.0,0,70.0,0,0.18407960199,0.0696517412935,0.114427860697,0.00489602990448,135.0,73.0,135.0,0,73.0,0,80.0,38.0,80.0,0,38.0,0
PaulAzinger,golf,theatre_theater,1.0,1,0.432835820896,0.258706467662,0.174129353234,0.00273089412871,52.0,0,35.0,0,0.233830845771,0.119402985075,0.114427860697,0.0064685817733,86.0,69.0,86.0,0,69.0,0,54.0,11.0,54.0,0,11.0,0
KRISTY2208,golf,theatre_theater,1.0,1,0.333333333333,0.144278606965,0.189054726368,0.000539784102211,29.0,0,38.0,0,0.0696517412935,0.0248756218905,0.044776119403,8.59768061145e-05,10.0,31.0,10.0,0,31.0,0,7.0,1.0,7.0,0,1.0,0
ronsirak,golf,theatre_theater,1.0,1,0.532338308458,0.203980099502,0.328358208955,0.00238802023646,41.0,0,66.0,0,0.1592039801,0.0547263681592,0.10447761194,0.00198861053804,60.0,100.0,60.0,0,100.0,0,41.0,40.0,41.0,0,40.0,0
HESherman,golf,theatre_theater,1.0,1,0.592039800995,0.248756218905,0.34328358209,0.00666300880236,50.0,0,69.0,0,0.303482587065,0.149253731343,0.154228855721,0.0450410117602,115.0,74.0,115.0,0,74.0,0,42.0,0,42.0,0,0,0
theatre503,golf,theatre_theater,1.0,1,0.328358208955,0.164179104478,0.164179104478,0.000564081798598,33.0,0,33.0,0,0.0845771144279,0.0348258706468,0.0497512437811,0.00288190135751,13.0,14.0,13.0,0,14.0,0,2.0,12.0,2.0,0,12.0,0
ParkerMcLachlin,golf,theatre_theater,1.0,1,0.213930348259,0.1592039801,0.0547263681592,0.000114074130029,32.0,0,11.0,0,0.0646766169154,0.0348258706468,0.0298507462687,0.00044064313509,11.0,13.0,11.0,0,13.0,0,13.0,10.0,13.0,0,10.0,0
TheTonyAwards,golf,theatre_theater,1.0,1,0.412935323383,0.233830845771,0.179104477612,0.0027310101759,47.0,0,36.0,0,0.139303482587,0.0746268656716,0.0646766169154,0.00664214917682,76.0,24.0,76.0,0,24.0,0,89.0,10.0,89.0,0,10.0,0
broadwaypulse,golf,theatre_theater,1.0,1,0.467661691542,0.169154228856,0.298507462687,0.240239387674,33.0,1.0,60.0,0,0.0497512437811,0.0298507462687,0.0199004975124,6.10427898985e-05,26.0,5.0,26.0,0,5.0,0,9.0,79.0,9.0,0,79.0,0
