Project,Community,Person_ID,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_vol_in,FF_vol_out,FF_groups_in,FF_groups_out,FF_rec,FF_bin_betweeness,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_vol_in,AT_vol_out,AT_groups_in,AT_groups_out,AT_rec,AT_bin_betweeness,AT_avg_tie_strength,AT_strength_centrality_in,RT_bin_in_degree,RT_bin_out_degree,RT_vol_in,RT_vol_out
584,accounting,CPA_Trendlines,1,0.00300066014523,0.00240052811619,0.000600132029046,40.0,10.0,27,8,0.162790697674,1.42437517311e-05,0.000480105623237,0.000300066014523,0.000180039608714,22.0,10.0,5,3,0.0,0.000160204932543,4.0,6.29346938776,6.00132029046e-05,0.000660145231951,1.0,12.0
584,accounting,AICPA_JofA,1,0.0139830762768,0.00456100342075,0.00942207285603,76.0,157.0,31,44,0.378698224852,0.000300232114072,0.000720158434856,0.000120026405809,0.000600132029046,3.0,16.0,2,8,0.0,0.000168131739161,1.58333333333,1.75922490208,6.00132029046e-05,0.0,1.0,0
584,accounting,CPALetter_Daily,1,0.0223249114805,0.0102022444938,0.0121226669867,170.0,202.0,60,67,0.823529411765,0.000522302275669,0.000120026405809,0.000120026405809,0.0,2.0,0,2,0,0.0,8.7437027049e-06,1.0,0.94,6.00132029046e-05,0.000240052811619,1.0,11.0
584,accounting,YoungCPANetwork,1,0.00636139950789,0.001260277261,0.00510112224689,21.0,85.0,12,24,0.139784946237,8.04766527648e-05,0.000240052811619,6.00132029046e-05,0.000180039608714,1.0,3.0,1,3,0.333333333333,3.45429680252e-05,1.0,0.7,6.00132029046e-05,6.00132029046e-05,1.0,1.0
584,accounting,AICPANews,1,0.0131428914361,0.00282062053652,0.0103222708996,47.0,172.0,24,44,0.223463687151,0.000260531047527,0.000120026405809,0.0,0.000120026405809,0,2.0,0,1,0.0,1.01958695601e-05,1.0,0,0.0,0.0,0,0
584,accounting,cpanet,1,0.00198043569585,0.000600132029046,0.00138030366681,10.0,23.0,8,8,0.1,2.83371909596e-05,0.000840184840665,0.0,0.000840184840665,0,19.0,0,8,0.0,1.24047791651e-05,1.35714285714,0,6.00132029046e-05,0.0,1.0,0
584,accounting,JodyPadarCPA,1,0.0122426933925,0.00408089779752,0.00816179559503,68.0,136.0,25,41,0.426573426573,4.37208798667e-05,0.00240052811619,0.000600132029046,0.00180039608714,19.0,68.0,7,20,0.0810810810811,0.000708964219644,2.175,7.21,0.0,0.000180039608714,0,3.0
584,accounting,AccountingWEB,1,0.0121226669867,0.00228050171038,0.00984216527636,38.0,164.0,24,38,0.16091954023,0.000572966921378,6.00132029046e-05,0.0,6.00132029046e-05,0,1.0,0,1,0.0,5.15311869394e-06,1.0,0,0.0,0.0,0,0
584,accounting,JasonMBlumer,1,0.00306067334814,0.00144031686971,0.00162035647843,24.0,27.0,14,17,0.342105263158,2.05672282635e-05,0.0013202904639,0.000180039608714,0.00114025085519,7.0,44.0,3,17,0.1,0.000283842252883,2.31818181818,4.09,0.0,0.000540118826142,0,10.0
584,accounting,DianeKennedyCPA,1,0.0445297965552,0.0204645021905,0.0240652943648,341.0,401.0,96,101,0.814180929095,9.61432941295e-05,0.000480105623237,0.000180039608714,0.000300066014523,3.0,5.0,3,4,0.0,0.000429586443648,1.0,0.7,0.000300066014523,0.0,6.0,0
