Name,Group1,Group2,Tie_number,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_volume_in,RT_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
booweekley,golf,dance,1.0,1,0.1592039801,0.154228855721,0.00497512437811,2.24571586512e-06,31.0,0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0
Katee_Shean,golf,dance,1.0,1,0.208955223881,0.119402985075,0.089552238806,0.00118268376766,24.0,0,18.0,0,0.089552238806,0.0547263681592,0.0348258706468,0.000723838812905,25.0,13.0,25.0,0,13.0,0,7.0,2.0,7.0,0,2.0,0
Titleist,golf,dance,1.0,1,0.532338308458,0.18407960199,0.348258706468,0.00863235105348,37.0,0,70.0,0,0.18407960199,0.0696517412935,0.114427860697,0.00489602990448,135.0,73.0,135.0,0,73.0,0,80.0,38.0,80.0,0,38.0,0
PaulAzinger,golf,dance,1.0,1,0.432835820896,0.258706467662,0.174129353234,0.00756097380278,52.0,0,35.0,0,0.233830845771,0.119402985075,0.114427860697,0.0064685817733,86.0,69.0,86.0,0,69.0,0,54.0,11.0,54.0,0,11.0,0
KRISTY2208,golf,dance,1.0,1,0.333333333333,0.144278606965,0.189054726368,0.00210397557637,29.0,0,38.0,0,0.0696517412935,0.0248756218905,0.044776119403,8.59768061145e-05,10.0,31.0,10.0,0,31.0,0,7.0,1.0,7.0,0,1.0,0
ronsirak,golf,dance,1.0,1,0.532338308458,0.203980099502,0.328358208955,0.005815677172,41.0,0,66.0,0,0.1592039801,0.0547263681592,0.10447761194,0.00198861053804,60.0,100.0,60.0,0,100.0,0,41.0,40.0,41.0,0,40.0,0
PatPerezGolf,golf,dance,1.0,1,0.457711442786,0.203980099502,0.253731343284,0.00391500974973,41.0,0,51.0,0,0.0796019900498,0.0298507462687,0.0497512437811,0.000701662873241,11.0,37.0,11.0,0,37.0,0,3.0,0,3.0,0,0,0
JABBAWOCKEEZ,golf,dance,1.0,1,0.0945273631841,0.0696517412935,0.0248756218905,0.00118542905351,14.0,0,5.0,0,0.0199004975124,0.0199004975124,0.0,0.0,4.0,0,4.0,0,0,0,3.0,17.0,3.0,0,17.0,0
ParkerMcLachlin,golf,dance,1.0,1,0.213930348259,0.1592039801,0.0547263681592,0.000144151859787,32.0,0,11.0,0,0.0646766169154,0.0348258706468,0.0298507462687,0.00044064313509,11.0,13.0,11.0,0,13.0,0,13.0,10.0,13.0,0,10.0,0
CourtneyGaliano,golf,dance,1.0,1,0.34328358209,0.164179104478,0.179104477612,0.00240241508098,33.0,0,36.0,0,0.203980099502,0.0945273631841,0.109452736318,0.00175584110573,47.0,62.0,47.0,0,62.0,0,59.0,46.0,59.0,0,46.0,0
