Community name,Based on Projects,# lists,Total unique members on all lists,Average users per list,Min users,Max users
peace,peace,207,5385,81.6811594202899,1,491
storage,storage,923,3758,100.553629469122,1,490
anthropology,anthropology,592,1300,69.0625,1,178
banking,banking,133,1820,97.5864661654135,2,473
swimming,swimming,190,1811,50.6526315789474,1,335
management,management,452,7405,124.561946902655,1,500
trading,trading,2231,7304,133.274316450022,1,492
fantasy,fantasy,396,5763,70.5227272727273,1,371
hockey,hockey,5064,14937,117.708333333333,1,500
islam,islam,532,3228,73.9266917293233,1,462
astrology,astrology,1239,1748,72.0524616626312,1,424
agriculture,agriculture,447,4215,164.565995525727,1,481
dance,dance,1535,14952,96.7068403908795,0,500
cycling,cycling,3530,15358,101.017563739377,0,500
climatechange,climatechange,66,798,54.8787878787879,4,172
fishing,fishing,552,5456,113.503623188406,1,478
humanrights_activism_justice,"humanrights,activism,justice",2197,19746,109.967228038234,1,501
energy,energy,1413,12582,105.650389242746,1,501
wine,wine,9371,37798,185.895742183332,1,500
php,php,1616,4296,50.3576732673267,1,473
cancer,cancer,1568,6781,120.927295918367,1,499
html,html,1369,2309,50.3652300949598,1,495
vegetarian,vegetarian,458,2260,105.700873362445,1,474
jokes,jokes,101,1347,72.1188118811881,1,497
gardening,gardening,1286,6536,132.779160186625,1,501
charity_philanthropy,"charity,philanthropy",2013,12034,125.183308494784,0,485
history,history,1307,9979,82.1040550879878,1,492
magazine,magazine,3165,24106,75.7071090047393,1,500
branding,branding,1612,7301,391.039081885856,0,498
racing,racing,1691,7508,106.149024246008,1,466
author,author,2532,40658,237.080963665087,1,502
politics_news,"List 513645, news"
politics_news,"List 514152, news"
politics_news,"List 526009, news"
politics_news,"List 529118, news"
politics_news,"List 551956, news"
politics_news,"List 562238, news"
politics_news,"List 565565, news"
politics_news,"List 569849, news"
politics_news,"List 584819, news"
politics_news,"List 595263, news"
politics_news,"List 615272, news"
politics_news,"List 622380, news"
politics_news,"politics,news",157453,47963,67.8187320964679,1,583
innovation,innovation,2672,14499,239.678517964072,1,500
perl,perl,2142,1228,57.6461251167133,1,496
sailing,sailing,1217,1762,65.5809367296631,1,248
drums,drums,508,598,44.6003937007874,1,122
university,university,294,2347,55.6054421768707,1,180
