Community name,Based on Projects,# lists,Total unique members on all lists,Average users per list,Min users,Max users
archaeology,archaeology,610,1878,152.370491803279,1,481
java,java,2549,2312,38.0541388779914,1,469
liberal,liberal,992,5334,191.011088709677,1,495
horror,horror,1025,4166,76.9853658536585,1,456
astronomy_physics,"astronomy,physics",3570,5851,87.1817927170868,1,499
highered,highered,612,6305,137.815359477124,1,501
parenting,parenting,2821,13635,131.570010634527,1,500
nature,nature,995,12229,117.350753768844,1,500
marketing,marketing,31686,96980,216.189989269709,1,501
surfing,surfing,1819,2983,79.9290819131391,1,484
wedding,wedding,7072,21085,107.128012048193,0,498
magician,magician,663,1141,87.7647058823529,1,316
hospitality,hospitality,588,4324,85.0187074829932,1,378
jazz,jazz,1392,7422,177.048850574713,1,494
meditation,meditation,1056,2322,104.576704545455,1,330
piano,piano,328,1536,58.5030487804878,1,234
wrestling,wrestling,2237,7538,97.9995529727313,1,502
blogs,blogs,1286,41108,132.343701399689,1,501
marriage,marriage,324,1050,43.8487654320988,1,171
lesbian,lesbian,674,2125,169.79821958457,1,466
climbing,climbing,301,2410,81.2126245847176,1,383
engineering,engineering,231,3547,72.0779220779221,1,490
finance_economics,"finance,economics",7692,15430,85.1704368174727,1,499
tennis,tennis,28316,2954,75.4084969628479,1,500
