Name,Spearmans_rho,Kendalls_tau,percent_found_in_200
java,0.771396719222806,0.651205936920223,0.919191919191919
astronomy,0.733633455152442,0.724180581323439,0.787878787878788
marketing,0.582707589122986,0.551432694289837,0.878787878787879
surfing,0.745758100151283,0.692846835703979,0.828282828282828
hospitality,0.60277188243617,0.707689136260565,0.727272727272727
finance,0.696208716044557,0.63265306122449,0.858585858585859
tennis,0.712722298221614,0.64172335600907,0.868686868686869
tech,0.449250936329588,0.446299732014018,0.898989898989899
trading,0.611578276795668,0.531642960214389,0.919191919191919
astrology,0.71464691730742,0.653679653679654,0.868686868686869
politics,0.330362269309638,0.550608122036693,0.767676767676768
news,0.739129291760871,0.736136878994022,0.777777777777778
perl,0.0617262870315035,0.741084312512884,0.525252525252525
sailing,0.447484639016897,0.72665429808287,0.636363636363636
photography,0.565198463229612,0.588950731807875,0.828282828282828
lawyer,0.582090951711205,0.622758194186766,0.808080808080808
hiking,0.540853882959146,0.627705627705628,0.777777777777778
basketball,0.648373983739837,0.648732220160792,0.818181818181818
sustainability,0.463243243243243,0.608740465883323,0.757575757575758
python,0.676915219611849,0.598433312719027,0.898989898989899
investor,0.824068673908289,0.721294578437436,0.878787878787879
advertising,0.875542179339648,0.814883529169243,0.787878787878788
sport,0.0545188990456045,0.624819624819625,0.626262626262626
football,0.40256544341567,0.757575757575758,0.585858585858586
religion,0.690088858509911,0.707689136260565,0.767676767676768
airlines,0.645591250854409,0.687074829931973,0.777777777777778
dating,0.633812074001948,0.652030509173366,0.797979797979798
ruby,0.800881858902575,0.636775922490208,0.95959595959596
automotive,0.679098070663711,0.622345908060194,0.868686868686869
comedy,0.550249001934395,0.492475778190064,0.909090909090909
healthcare,0.741373652133146,0.706452277880849,0.808080808080808
ceo,0.544109589041096,0.665223665223665,0.747474747474748
food,0.579753761969904,0.560915275200989,0.868686868686869
accounting,0.58079005919147,0.597196454339311,0.838383838383838
golf,0.896655502618048,0.795093795093795,0.868686868686869
musician,1.0,1.0,1.0
realestate,0.387203840935184,0.673881673881674,0.666666666666667
radio,0.479532967032967,0.725005153576582,0.646464646464647
