Project Name, Members from List found in project, Members after re-assignment, Double Entries
religion, 97, 96, 0
baseball, 98, 99, 0
fantasy, 100, 105, 0
opensource, 100, 112, 0
football, 99, 85, 0
sociology, 100, 117, 0
cycling, 100, 99, 0
weather, 100, 110, 0
philanthropy, 100, 124, 0
physics, 100, 104, 0
pharma, 100, 111, 0
mac, 68, 104, 0
poetry, 89, 100, 0
ruby, 100, 98, 0
marketing, 99, 81, 0
poker, 99, 101, 0
outdoors, 86, 59, 0
career, 100, 148, 0
buddhism, 100, 148, 0
insurance, 100, 151, 0
climbing, 100, 105, 0
astrology, 96, 96, 0
ipad, 100, 123, 0
database, 100, 137, 0
comedy, 99, 89, 0
dating, 99, 100, 0
wrestling, 100, 104, 0
rugby, 100, 119, 0
mobile, 58, 105, 0
literacy, 100, 124, 0
animation, 100, 115, 0
islam, 100, 132, 0
anime, 95, 100, 0
gardening, 94, 100, 0
banking, 100, 131, 0
guitar, 97, 101, 0
gaming, 100, 111, 0
genealogy, 100, 112, 0
python, 100, 100, 0
java, 98, 98, 0
news, 100, 55, 0
basketball, 96, 95, 0
archaeology, 100, 115, 0
reporter, 100, 99, 0
storage, 100, 117, 0
poverty, 100, 112, 0
musician, 100, 90, 0
highered, 100, 111, 0
realestate, 99, 98, 0
trading, 97, 87, 0
chef, 100, 137, 0
humanrights, 100, 125, 0
theatre, 84, 76, 0
skiing, 100, 127, 0
surfing, 99, 100, 0
handmade, 92, 83, 0
architecture, 92, 100, 0
aviation, 100, 107, 0
astronomy, 99, 99, 0
yoga, 97, 100, 0
healthcare, 100, 92, 0
restaurant, 58, 96, 0
vegetarian, 100, 139, 0
investor, 99, 94, 0
homeschool, 100, 122, 0
running, 95, 101, 0
cinema, 89, 96, 0
php, 100, 103, 0
finance, 99, 86, 0
rapper, 98, 103, 0
university, 100, 115, 0
engineering, 100, 122, 0
racing, 100, 116, 0
branding, 87, 105, 0
tech, 99, 73, 0
sport, 96, 63, 0
tennis, 100, 100, 0
agriculture, 100, 140, 0
radio, 100, 98, 0
perl, 100, 100, 0
innovation, 100, 75, 0
pregnancy, 100, 146, 0
sustainability, 98, 87, 0
activism, 99, 64, 0
publishing, 80, 136, 0
beauty, 95, 90, 0
motorcycle, 100, 140, 0
climatechange, 99, 140, 0
marriage, 100, 122, 0
hospitality, 95, 96, 0
airlines, 98, 92, 0
cancer, 100, 125, 0
skateboarding, 100, 161, 0
construction, 99, 131, 0
legal, 100, 83, 0
romance, 100, 114, 0
nursing, 100, 120, 0
neuroscience, 100, 122, 0
jewish, 100, 142, 0
comics, 98, 101, 0
golf, 97, 97, 0
automotive, 98, 100, 0
advertising, 100, 93, 0
horror, 100, 117, 0
fashion, 100, 109, 0
hiking, 99, 89, 0
theater, 100, 105, 0
anthropology, 100, 108, 0
filmfestival, 100, 144, 0
newspaper, 100, 129, 0
lawyer, 100, 88, 0
youtube, 98, 96, 0
recipes, 100, 114, 0
college, 88, 92, 0
toys, 100, 113, 0
chemistry, 99, 123, 0
accounting, 97, 97, 0
photography, 99, 94, 0
dance, 83, 100, 0
politics, 100, 75, 0
wedding, 99, 101, 0
food, 96, 56, 0
wine, 99, 129, 0
etsy, 82, 88, 0
hunting, 100, 125, 0
peace, 100, 129, 0
multimedia, 99, 106, 0
ceo, 100, 88, 0
linux, 96, 99, 0
jazz, 99, 157, 0
actor, 100, 96, 0
energy, 100, 115, 0
beer, 99, 100, 0
charity, 74, 66, 0
history, 97, 92, 0
exercise, 100, 100, 0
flash, 100, 135, 0
military, 100, 125, 0
linguistics, 100, 130, 0
sailing, 98, 98, 0
