Community,Person ID,Person Name,Private?,Deleted?,Friends Count,Friends_IDS,Delta Friends,Followers Count,Statuses Count,# Tweets,Delta Tweets,# Retweets stored in DB,# Retweets reported by Twitter,Delta Retweets
archaeology,1795,archaeologymag,false,false,309,309,0,10093,978,980,-2,1746,1465.0,281.0
archaeology,1709,ArchaeologyDN,false,false,2284,2284,0,8202,6485,3200,0,4572,3995.0,577.0
archaeology,1771,archaeologynews,false,false,3055,3055,0,10929,24843,3200,0,4307,4021.0,286.0
archaeology,16254,NEAarchaeology,false,false,2761,2761,0,3397,3880,3234,-34,2680,1350.0,1330.0
archaeology,16325,CurrentArchaeo,false,false,282,282,0,4908,1206,1264,-58,3063,1029.0,2034.0
archaeology,16323,Archaeology_Net,false,false,379,379,0,5283,22,22,0,17,13.0,4.0
archaeology,16249,archaeology,false,false,1211,1211,0,3011,2216,2218,-2,206,170.0,36.0
archaeology,16248,wessexarch,false,false,1489,1489,0,3872,437,428,9,678,511.0,167.0
archaeology,16327,w_archaeology,false,false,45,45,0,3436,1514,1537,-23,3559,1111.0,2448.0
archaeology,16324,ArchaeoBox,false,false,2532,2532,0,3150,8802,3211,-11,788,693.0,95.0
archaeology,16329,ArchaeologyUK,false,false,1444,1444,0,2820,1578,1642,-64,1013,864.0,149.0
archaeology,1794,AntiquiTweet,false,false,256,256,0,5275,857,855,2,3344,1493.0,1851.0
archaeology,16284,archaeothunk,false,false,362,362,0,1388,107,107,0,139,17.0,122.0
archaeology,16328,Routledge_Arch,false,false,822,822,0,1717,353,351,2,623,284.0,339.0
archaeology,16263,lparchaeology,false,false,519,519,0,1884,106,105,1,115,48.0,67.0
archaeology,16289,diggingthedirt,false,false,639,639,0,1892,1628,1741,-113,12550,577.0,11973.0
archaeology,16245,BibArch,false,false,1987,1987,0,4239,1892,1912,-20,1259,1005.0,254.0
archaeology,34884,ArchaeologyTime,false,false,3851,3851,0,7273,5281,3233,-33,1969,1534.0,435.0
archaeology,16326,Archaemedia,false,false,2,2,0,1512,314,318,-4,269,231.0,38.0
archaeology,16331,Archaeorama,false,false,409,409,0,1207,345,352,-7,476,367.0,109.0
archaeology,16343,Bennu,false,false,643,643,0,3613,13845,3200,0,7303,3537.0,3766.0
archaeology,1799,AncientDigger,false,false,1644,1644,0,2314,9748,3224,-24,8496,562.0,7934.0
archaeology,16330,PresentThePast,false,false,364,364,0,1179,153,152,1,27,20.0,7.0
archaeology,16332,jntribolo,false,false,1472,1472,0,2775,5403,3244,-44,1634,1514.0,120.0
archaeology,16339,ArchaeoTweets,false,false,122,122,0,1445,531,547,-16,621,187.0,434.0
archaeology,16265,kelseymuseum,false,false,4283,4283,0,4050,4716,3191,9,26594,543.0,26051.0
archaeology,16364,archaeology_aia,false,false,48,48,0,2358,242,240,2,316,294.0,22.0
archaeology,16278,mikeheyworth,false,false,580,580,0,1915,2104,2109,-5,2300,1784.0,516.0
archaeology,16309,Archaeologydude,false,false,942,942,0,945,634,631,3,376,83.0,293.0
archaeology,16285,mooregroup,false,false,1310,1310,0,1355,2947,2963,-16,9043,497.0,8546.0
archaeology,16291,archaeologist,false,false,701,701,0,1207,3104,3189,-85,4335,297.0,4038.0
archaeology,16351,portableant,false,false,910,910,0,1666,11976,3200,0,9776,597.0,9179.0
archaeology,1721,ArchaeoNewsNet,false,false,5417,5416,1,6286,23860,3236,-36,1695,1570.0,125.0
archaeology,16341,Pastpreservers,false,false,2088,2088,0,1904,9714,5216,-2016,119250,161.0,119089.0
archaeology,16308,MAC_Archaeology,false,false,29,29,0,1031,78,77,1,9,5.0,4.0
archaeology,16334,HeritageKey,false,false,445,445,0,2230,1731,1721,10,1305,639.0,666.0
archaeology,1786,adrianmurdoch,false,false,1153,1153,0,2235,5617,3402,-202,22944,2312.0,20632.0
archaeology,16337,DianeARees,false,false,1493,1493,0,1945,2163,2171,-8,245,177.0,68.0
archaeology,16356,Standing_Stones,false,false,16242,16275,-33,15141,1647,1667,-20,546,431.0,115.0
archaeology,16344,GrandPre2009,false,false,987,987,0,1139,98,97,1,14,8.0,6.0
archaeology,16262,MummysWrap,false,false,1785,1785,0,1728,2022,2022,0,644,358.0,286.0
archaeology,16342,InstituteArch,false,false,137,137,0,1790,288,303,-15,317,280.0,37.0
archaeology,16336,arch_review_cam,false,false,103,103,0,1042,54,55,-1,25,23.0,2.0
archaeology,16281,rogueclassicist,false,false,396,396,0,1912,17093,3234,-34,7753,1130.0,6623.0
archaeology,16350,archaeologywkas,false,false,346,346,0,703,17,17,0,2,1.0,1.0
archaeology,16333,Pottedhistory,false,false,1890,1890,0,1926,3660,3191,9,7480,764.0,6716.0
archaeology,34885,britarch,false,false,0,0,0,1316,91,89,2,177,171.0,6.0
archaeology,16243,VOTPnews,false,false,4159,4159,0,4451,6013,3215,-15,1447,1224.0,223.0
archaeology,16322,wikiarc,false,false,225,225,0,979,116,115,1,46,20.0,26.0
archaeology,16273,History_Hunters,false,false,1049,1049,0,1751,1601,1594,7,4800,382.0,4418.0
archaeology,16363,cortsims,false,false,2019,2019,0,2023,9319,3246,-46,5077,1654.0,3423.0
archaeology,16317,digipast,false,false,213,213,0,702,475,474,1,61,7.0,54.0
archaeology,16340,IA_NICH,false,false,78,78,0,402,205,226,-21,108,84.0,24.0
archaeology,16362,pittsmike,false,false,0,0,0,667,140,143,-3,168,165.0,3.0
archaeology,34886,PastHorizons,false,false,440,440,0,1572,2165,2196,-31,1336,1237.0,99.0
archaeology,16352,ForensicArchae,false,false,39,39,0,1317,26,26,0,18,16.0,2.0
archaeology,16335,girlwithtrowel,false,false,363,363,0,922,4752,3235,-35,10161,188.0,9973.0
archaeology,34887,t_archaeology,false,false,0,0,0,504,2252,2249,3,18,16.0,2.0
archaeology,16345,BloggingPompeii,false,false,86,86,0,1381,807,802,5,309,273.0,36.0
archaeology,16303,GirlArchaeo,false,false,179,179,0,1718,4723,3234,-34,137130,2915.0,134215.0
archaeology,16375,EHArchaeology,false,false,88,88,0,3744,438,449,-11,617,517.0,100.0
archaeology,16280,brockter,false,false,807,807,0,1353,19556,3212,-12,123585,408.0,123177.0
archaeology,16293,capmsu,false,false,635,635,0,1157,1249,1264,-15,270,164.0,106.0
archaeology,16276,elginism,false,false,1995,1995,0,1746,2006,2073,-67,2505,651.0,1854.0
archaeology,1797,archeology101,false,false,1846,1846,0,2758,4382,3199,1,277,233.0,44.0
archaeology,16269,iskra_kultur,false,false,1444,1444,0,1226,907,894,13,780,52.0,728.0
archaeology,16371,AmericanArchaeo,false,false,791,791,0,742,510,507,3,59,53.0,6.0
archaeology,16338,ArchaeoPub,false,false,432,432,0,726,203,205,-2,45,36.0,9.0
archaeology,16298,gabiiproject,false,false,2001,2001,0,1238,290,288,2,149,146.0,3.0
archaeology,16349,Ecomuseum,false,false,409,409,0,1196,630,638,-8,75,69.0,6.0
archaeology,16346,HeritageAction,false,false,241,241,0,2302,1253,1301,-48,1331,675.0,656.0
archaeology,16255,Alamannenmuseum,false,false,2534,2534,0,2301,3110,3130,-20,4959,353.0,4606.0
archaeology,16359,ZahiHawass,false,false,7,7,0,37329,488,485,3,1528,1199.0,329.0
archaeology,16354,c_katsari,false,false,506,506,0,1296,1210,1215,-5,1425,241.0,1184.0
archaeology,16358,BAJRjobs,false,false,127,127,0,1007,1902,1946,-44,975,693.0,282.0
archaeology,16370,archaeologyshop,false,false,83,83,0,450,5,5,0,0,0.0,0.0
archaeology,16391,carfkingston,false,false,350,350,0,511,333,340,-7,270,67.0,203.0
archaeology,16366,pauljcripps,false,false,545,545,0,589,5092,3199,1,5539,130.0,5409.0
archaeology,34888,AD79,false,false,245,245,0,843,265,266,-1,168,150.0,18.0
archaeology,34889,archfieldwork,false,false,689,689,0,858,5297,3225,-25,675,636.0,39.0
archaeology,1731,Stonehengeinfo,false,false,3979,3979,0,4110,247,247,0,209,150.0,59.0
archaeology,34890,iowaarchaeology,false,false,3,3,0,607,35,33,2,0,0.0,0.0
archaeology,16347,archaeogeek,false,false,123,123,0,687,1227,1238,-11,49766,62.0,49704.0
archaeology,16348,qmackie,false,false,437,437,0,232,329,328,1,219,53.0,166.0
archaeology,16376,archaeannie,false,false,121,121,0,344,240,238,2,1644,2.0,1642.0
archaeology,34891,diomc2,false,false,70,70,0,665,4,6,-2,0,0.0,0.0
archaeology,16320,PaulBelford,false,false,198,198,0,835,766,781,-15,1842,60.0,1782.0
archaeology,16355,SHA_org,false,false,479,479,0,1397,721,744,-23,546,445.0,101.0
archaeology,16388,ShovelBums,false,false,563,563,0,725,312,313,-1,34,27.0,7.0
archaeology,16274,IshtarsGate,false,false,272,272,0,1516,11431,3207,-7,39769,1999.0,37770.0
archaeology,16357,MickMorrison,false,false,305,305,0,647,2825,2869,-44,23020,403.0,22617.0
archaeology,16367,SAAorg,false,false,16,16,0,744,184,191,-7,209,194.0,15.0
archaeology,34892,ADS_Update,false,false,360,360,0,828,148,150,-2,309,290.0,19.0
archaeology,16365,ArchProf,false,false,21,21,0,332,51,51,0,2,1.0,1.0
archaeology,34893,pennmuseum,false,false,424,424,0,3623,2439,2447,-8,3693,726.0,2967.0
archaeology,39432,ManeyArchaeo,false,false,1181,1181,0,833,306,304,2,278,195.0,83.0
archaeology,16292,YorksArch,false,false,357,357,0,1502,2131,2155,-24,1636,617.0,1019.0
archaeology,16373,cornwallarch,false,false,29,29,0,810,17,18,-1,10,10.0,0.0
archaeology,39433,NPSArcheology,false,false,507,507,0,2453,611,610,1,879,523.0,356.0
archaeology,39434,lynnegoldstein,false,false,422,422,0,665,10620,3214,-14,11570,95.0,11475.0
archaeology,39438,MarlonBP,false,false,1276,1276,0,488,674,670,4,27,19.0,8.0
java,12930,java,false,false,63,63,0,51160,1815,1924,-109,30399,13061.0,17338.0
java,12931,joshbloch,false,false,94,94,0,14371,894,919,-25,53355,5163.0,48192.0
java,12932,JavaPerformance,false,false,35,35,0,8937,1233,1234,-1,479,425.0,54.0
java,12933,crazybob,false,false,378,378,0,13040,5385,3220,-20,104914,2312.0,102602.0
