music;sound 
sound;sense_impression 
sense_impression;perception 
perception;basic_cognitive_process 
basic_cognitive_process;operation 
operation;knowledge 
knowledge;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
blogger;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
entrepreneur;bourgeois 
bourgeois;capitalist 
capitalist;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
tech;school 
school;educational_institution 
educational_institution;institution 
institution;organisation 
organisation;social_group 
social_group;grouping 
grouping;abstract_entity 
abstract_entity;entity 
marketing;commerce 
commerce;dealing 
dealing;group_action 
group_action;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
writer;literate_person 
literate_person;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
fashion;property 
property;attribute 
attribute;abstract_entity 
abstract_entity;entity 
photographer;creative_person 
creative_person;creator 
creator;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
design;creativeness 
creativeness;ability 
ability;knowledge 
knowledge;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
politics;social_relation 
social_relation;relation 
relation;abstract_entity 
abstract_entity;entity 
artist;creator 
creator;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
news;info 
info;content 
content;communication 
communication;abstract_entity 
abstract_entity;entity 
celebrity;honor 
honor;standing 
standing;position 
position;state 
state;attribute 
attribute;abstract_entity 
abstract_entity;entity 
technology;field_of_study 
field_of_study;knowledge_domain 
knowledge_domain;cognitive_content 
cognitive_content;knowledge 
knowledge;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
entertainment;recreation 
recreation;activity 
activity;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
gaming;recreation 
recreation;activity 
activity;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
business;people 
people;grouping 
grouping;abstract_entity 
abstract_entity;entity 
comedy;drama 
drama;genre 
genre;style 
style;communication 
communication;abstract_entity 
abstract_entity;entity 
food;cognitive_content 
cognitive_content;knowledge 
knowledge;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
shopping;purchasing 
purchasing;purchase 
purchase;acquisition 
acquisition;getting 
getting;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
funny;jape 
jape;humor 
humor;content 
content;communication 
communication;abstract_entity 
abstract_entity;entity 
fitness;competency 
competency;ability 
ability;quality 
quality;attribute 
attribute;abstract_entity 
abstract_entity;entity 
geek;anomaly 
anomaly;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
christian;religious_person 
religious_person;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
education;cognitive_content 
cognitive_content;knowledge 
knowledge;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
student;enrollee 
enrollee;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
advertising;promotion 
promotion;content 
content;communication 
communication;abstract_entity 
abstract_entity;entity 
mom;female_parent 
female_parent;parent 
parent;genitor 
genitor;progenitor 
progenitor;root 
root;relation 
relation;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
humor;body_substance 
body_substance;substance 
substance;matter 
matter;physical_entity 
physical_entity;entity 
author;communicator 
communicator;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
football;field_game 
field_game;outdoor_game 
outdoor_game;athletic_game 
athletic_game;athletics 
athletics;recreation 
recreation;activity 
activity;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
writing;activity 
activity;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
twitter;sound 
sound;occurrent 
occurrent;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
reading;data_point 
data_point;information 
information;knowledge 
knowledge;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
actor;performer 
performer;entertainer 
entertainer;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
journalist;author 
author;communicator 
communicator;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
developer;creator 
creator;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
producer;maker 
maker;creator 
creator;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
family;association 
association;organisation 
organisation;social_group 
social_group;grouping 
grouping;abstract_entity 
abstract_entity;entity 
singer;player 
player;performer 
performer;entertainer 
entertainer;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
radio;broadcasting 
broadcasting;telecommunication 
telecommunication;medium 
medium;instrumentality 
instrumentality;artifact 
artifact;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
green;environmentalist 
environmentalist;crusader 
crusader;controversialist 
controversialist;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
apple;edible_fruit 
edible_fruit;garden_truck 
garden_truck;solid_food 
solid_food;solid 
solid;matter 
matter;physical_entity 
physical_entity;entity 
wine;dark_red 
dark_red;redness 
redness;chromatic_color 
chromatic_color;coloring 
coloring;visual_property 
visual_property;property 
property;attribute 
attribute;abstract_entity 
abstract_entity;entity 
beauty;appearance 
appearance;quality 
quality;attribute 
attribute;abstract_entity 
abstract_entity;entity 
science;field_of_study 
field_of_study;knowledge_domain 
knowledge_domain;cognitive_content 
cognitive_content;knowledge 
knowledge;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
model;helper 
helper;worker 
worker;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
gay;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
money;wealth 
wealth;holding 
holding;possession 
possession;relation 
relation;abstract_entity 
abstract_entity;entity 
life;chronicle 
chronicle;record 
record;evidence 
evidence;indicant 
indicant;communication 
communication;abstract_entity 
abstract_entity;entity 
finance;direction 
direction;social_control 
social_control;group_action 
group_action;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
songwriter;composer 
composer;musician 
musician;creative_person 
creative_person;creator 
creator;somebody 
somebody;being 
being;living_thing 
living_thing;whole 
whole;object 
object;physical_entity 
physical_entity;entity 
environment;state_of_affairs 
state_of_affairs;state 
state;attribute 
attribute;abstract_entity 
abstract_entity;entity 
soccer;football 
football;field_game 
field_game;outdoor_game 
outdoor_game;athletic_game 
athletic_game;athletics 
athletics;recreation 
recreation;activity 
activity;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
inspiration;arousal 
arousal;change_of_state 
change_of_state;change 
change;action 
action;act 
act;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
