Author,Retweet IDs count,Text,Published At,URL,Favorited?,In reply to
Roan Star ,0,Ministry of Defence release UFO files http://www.telegraph.co.uk/a/6038208,2009-08-17 11:12:06 +0200,http://twitter.com/RoanStarSailing/status/3358964140,0,""
The Star,0,Kenyan defence ministry seeks more funding http://t.co/qZh02t80,2012-04-17 14:42:06 +0200,http://twitter.com/staronline/status/192231460294496256,0,""
Joomla!,17,http://joom.la/MinistryofDefence U.K. Ministry of Defence Uses Joomla,2011-02-15 15:49:29 +0100,http://twitter.com/joomla/status/37523897658257408,0,""
Arianna Huffington,28,Britain’s Ministry of Defence says: Tweet responsibly. http://bit.ly/ilSVto,2011-06-14 23:00:29 +0200,http://twitter.com/ariannahuff/status/80741421501517825,0,""
Guardian news,14,Pacific atomic test survivors cannot sue Ministry of Defence http://t.co/Mjm3ViVK,2012-03-14 14:48:27 +0100,http://twitter.com/guardiannews/status/179926970317029377,0,""
Daily Telegraph News,2,Ministry of Defence names six British soldiers killed in Afghanistan,2012-03-08 11:12:11 +0100,http://twitter.com/TelegraphNews/status/177698218057007105,0,""
Daily Telegraph News,12,Ministry of Defence faces £2 billion more cuts http://t.co/BnHL8RUp,2012-01-21 22:10:05 +0100,http://twitter.com/TelegraphNews/status/160831553105174528,0,""
FQXi Physics,0,The Ex-X-Files: UK's Ministry of Defence closes UFO unit http://news.bbc.co.uk/1/hi/uk/8395473.stm,2009-12-04 16:04:00 +0100,http://twitter.com/FQXi/status/6339086927,0,""
IEEE Spectrum,1,UK Ministry of Defence Accidentally Posts Secrets on Internet http://bit.ly/f1gkFb,2011-04-18 21:23:43 +0200,http://twitter.com/IEEESpectrum/status/60060959640793088,0,""
Guardian Law ,4,Pacific atomic test survivors cannot sue Ministry of Defence http://t.co/rQwWhNiK,2012-03-14 12:43:24 +0100,http://twitter.com/GdnLaw/status/179895503125884928,0,""
Scotsman,0,Fox pledges end to Ministry of Defence 'waste'  - http://t.co/A3qECYE,2011-06-27 14:48:45 +0200,http://twitter.com/scotsmandotcom/status/85328714669367296,0,""
Daily Mirror,2,Ministry of Defence shells out £75million on redundancy packages http://t.co/0LDFLJ0n,2012-01-21 13:27:26 +0100,http://twitter.com/DailyMirror/status/160700025524072448,0,""
Times of India,10,India 'watchful' of China's rising military profile: Defence ministry  http://t.co/2fg3Mo6k,2012-04-09 15:32:39 +0200,http://twitter.com/timesofindia/status/189345081097072640,0,""
Times of India,4,"Defence ministry official, wife found dead at home - http://t.co/CLbxWFHv",2012-03-31 06:33:16 +0200,http://twitter.com/timesofindia/status/185947847835914240,0,""
Times of India,1,Defence ministry asks armed forces to prioritize purchases http://t.co/OlaPDGoN,2012-03-02 21:56:03 +0100,http://twitter.com/timesofindia/status/175685926079561730,0,""
Times of India,3,"AK Antony's office 'bugged', defence ministry orders probe http://t.co/7cuKMnn8",2012-03-02 09:24:10 +0100,http://twitter.com/timesofindia/status/175496709558906880,0,""
human rights law,0,"Ministry of Defence - Baha Mousa report:
http://t.co/5FjEJ76",2011-09-09 17:35:48 +0200,http://twitter.com/humanrightslaw/status/112187457910480899,0,""
military news,0,Royal Marine killed in Sangin: Ministry of Defence http://bit.ly/9uFAqs,2010-06-02 18:17:11 +0200,http://twitter.com/militaryworld/status/15261955278,0,""
military news,0,Royal Marine killed in Sangin: Ministry of Defence http://bit.ly/aer0cc,2010-05-31 16:07:16 +0200,http://twitter.com/militaryworld/status/15109546678,0,""
HMForces.co.uk,4,"Ministry of Defence civil servant awarded £86,000 bonus:  http://t.co/pq5hncsh",2012-02-19 19:40:01 +0100,http://twitter.com/HMForces/status/171303035769856002,0,""
Defense News,0,"Australia Defence Ministry to Cut 1,000 Posts http://bit.ly/lGNBJi",2011-05-06 21:58:57 +0200,http://twitter.com/defense_news/status/66592807791501312,0,""
Ministry of Defence,4,News: Ministry of Defence Police rescue yachtsman http://t.co/iGA65hus,2011-10-04 14:08:04 +0200,http://twitter.com/DefenceHQ/status/121194876644761600,0,""
Clare Lynch,1,Killer communications from the Ministry of Defence http://t.co/CDWOVito,2012-05-14 19:09:39 +0200,http://twitter.com/goodcopybadcopy/status/202083266356973568,0,""
Building News,2,Ministry of Defence fires gun for estate job http://t.co/zziqlSQ2,2012-05-25 19:00:15 +0200,http://twitter.com/BuildingNews/status/206067166976544768,0,""
Vets Network,1,Defence Ministry to help impoverished former servicemen http://t.co/HnVhBAhD,2012-01-27 23:12:39 +0100,http://twitter.com/VetsNetwork/status/163021629004316672,0,""
Online Fundraising,0,"Ministry of Defence cuts £350,000 forces helpline funding http://t.co/a9aqpkZ7",2011-11-08 14:52:45 +0100,http://twitter.com/Affilyon/status/133904796359999488,0,""
Campaign,2,Ministry of Defence picks WCRS for £5m reserves recruitment: The Ministry of Defence has appointed WCRS to handl... http://t.co/UdYNBBSK,2011-10-13 09:24:45 +0200,http://twitter.com/Campaignmag/status/124385066041360384,0,""
NCE Magazine,0,NCE contracts news: Ministry of Defence announces training estate shortlist: The Ministry of Defence has this we... http://t.co/IXf5QLfk,2012-02-02 14:38:12 +0100,http://twitter.com/ncemagazine/status/165066489102217217,0,""
NCE Magazine,0,NCE latest news: Ministry of Defence announces training estate shortlist: The Ministry of Defence has this week ... http://t.co/IXf5QLfk,2012-02-02 14:36:30 +0100,http://twitter.com/ncemagazine/status/165066060888948736,0,""
CNplus,0,MoD scraps Defence Estates to find £1.2bn savings: The Ministry of Defence has abolished Defence Estates in a mo... http://bit.ly/hq5uY6,2011-02-17 11:52:53 +0100,http://twitter.com/CNplus/status/38189132622594048,0,""
Samaritan,0,"Ministry of Defence jobs under threat: SOME 12,000 jobs would be axed in the Ministry of Defence (MoD) under Liber... http://iss.uz/9xHCX3",2010-04-27 02:14:00 +0200,http://twitter.com/povertylive/status/12913868420,0,""
Talk Islam (.info),0,"The Guardian presses the Ministry of Defence over deaths of Iraqis in British custody:
The Ministry of Defence is ... http://bit.ly/b0V84D",2010-07-03 00:27:53 +0200,http://twitter.com/talkislam/status/17604906713,0,""
Talk Islam (.info),0,"The Ministry of Defence is opposing plans for a mosque near Sandhurst.
This post: ""The Ministry of Defence is oppo... http://bit.ly/8YyD1o",2010-02-25 11:32:45 +0100,http://twitter.com/talkislam/status/9620309165,0,""
NCE Magazine,0,NCE latest news: New Ministry of Defence infrastructure organisation created: Defence secretary Liam Fox has ann... http://bit.ly/gjZvBz,2011-02-17 09:51:40 +0100,http://twitter.com/ncemagazine/status/38158629811003392,0,""
EUCOM Social Media,0,RT @SHAPE_ACO_PAO: Chief of Defence Staff Jock Stirrup welcomes Adm @Stavridisj at British Defence Ministry http://twitpic.com/ju35b #eucom,2009-10-02 13:23:00 +0200,http://twitter.com/US_EUCOM/status/4550350578,0,""
HMForces.co.uk,0,MoD Counts Its Gliders To 'Massage' Scots Defence Statistics:   The Ministry of Defence has been accused of usin... http://t.co/1h47xmpz,2012-03-08 10:04:12 +0100,http://twitter.com/HMForces/status/177681109772009472,0,""
Ministry of Defence,0,The Secretary of State for Defence Dr Liam Fox MP arrives at the Ministry of Defence in Whitehall: http://bit.ly/dAYceQ,2010-05-12 14:39:21 +0200,http://twitter.com/DefenceHQ/status/13848706250,0,""
PlaneTalking,0,Swiss Ministry Under Pressure Over Gripen Fighters: The defence ministry is examining allegations of purposely i... http://t.co/j1afaxBp,2012-02-14 15:10:11 +0100,http://twitter.com/Plane_Talking/status/169423194137182209,0,""
BBC History Magazine,4,BBC News - Ministry of Defence files on UFO sightings released http://t.co/5mHgTD9,2011-08-11 16:59:26 +0200,http://twitter.com/HistoryExtra/status/101669057014673408,0,""
Dan Snow,0,RT @battlecastle: British Ministry of Defence explosives testing facility http://ow.ly/6OPxt #blog #explosion #Malaga,2011-10-06 08:30:58 +0200,http://twitter.com/thehistoryguy/status/121834815740846080,0,""
HNN,0,Ministry of Defence says sorry for killing of Majella O'Hare http://bit.ly/fcWgys,2011-03-30 12:47:02 +0200,http://twitter.com/myHNN/status/53045564224438273,0,""
Guardian Tech,32,Ministry of Defence forced to update its war games for Xbox generation http://t.co/fSyaZQsh,2011-12-28 21:22:38 +0100,http://twitter.com/guardiantech/status/152122306049736704,0,""
Sky News Newsdesk,53,AP: Lithuania's Defence Ministry says French NATO jet has crashed midair with Lithuanian plane,2011-08-30 10:35:40 +0200,http://twitter.com/SkyNewsBreak/status/108457845451784193,0,""
Guardian news,9,"Ministry of Defence handling of job cuts grotesque, say MPs http://t.co/cyhBnMa5",2012-01-25 01:12:47 +0100,http://twitter.com/guardiannews/status/161964696092672000,0,""
Daily Telegraph News,2,A Ministry of Defence employee has been charged with breaching the Official Secrets Act,2012-03-08 08:26:08 +0100,http://twitter.com/TelegraphNews/status/177656431141584896,0,""
ThirdSector,3,Ministry of Defence halts funding for armed forces charity helpline http://t.co/UJoLJILH,2011-11-08 10:39:27 +0100,http://twitter.com/ThirdSector/status/133841049142558720,0,""
easyJet,8,easyJet saving the UK taxpayer with new Ministry of Defence travel deal http://t.co/NgsRY2e0 (easyJet Blog),2011-10-25 10:57:00 +0200,http://twitter.com/easyJet/status/128756936320618496,0,""
easyJet,0,Breaking News: easyJet saving the UK taxpayer with new Ministry of Defence travel deal: http://t.co/FLK3g7Ud,2011-10-25 08:12:03 +0200,http://twitter.com/easyJetCare/status/128715425864364032,0,""
