Author,Retweet IDs count,Text,Published At,URL,Favorited?,In reply to
Military.com,2,Panetta Blasts Defense Cuts: http://t.co/nRtZYE5b,2012-03-31 18:04:33 +0200,http://twitter.com/Militarydotcom/status/186121813812715520,0,""
Drudge Report,38,US TROOPS DISARMED FOR PANETTA http://t.co/5258FdRg,2012-03-14 23:49:53 +0100,http://twitter.com/Drudge_Report/status/180063228406153216,0,""
The Hill,3,Panetta defends president’s Defense #budget http://t.co/9D2yx9ty #military,2012-02-14 17:34:04 +0100,http://twitter.com/thehill/status/169459403232247808,0,""
Drudge Report,13,Panetta defends cuts in military healthcare... http://t.co/VhuDPllH,2012-03-01 20:10:49 +0100,http://twitter.com/Drudge_Report/status/175297054594174976,0,""
Heritage Foundation,17,"Devastating Defense Cuts Loom, Panetta Warns! http://t.co/BwsX8IKw",2011-11-16 04:15:14 +0100,http://twitter.com/Heritage/status/136643459581878274,0,""
CNN Political Ticker,30,Gingrich calls for Panetta resignation  - http://t.co/UQSQS67K,2012-03-10 04:02:36 +0100,http://twitter.com/PoliticalTicker/status/178314887288717313,0,""
CNN Political Ticker,5,Romney blasts Panetta after Afghanistan announcement http://t.co/Vv7YPMlB,2012-02-02 05:21:53 +0100,http://twitter.com/PoliticalTicker/status/164926486258794496,0,""
Cato Institute,7,"On Afghanistan, Panetta Leaves Questions Unanswered  http://t.co/4uHJXmB7",2012-02-02 21:16:32 +0100,http://twitter.com/CatoInstitute/status/165166731512385537,0,""
West Wing Report,2,President's Monday: 3:45-Treasury Sec. Geithner; 4:45-SecDef Panetta,2012-03-05 01:37:49 +0100,http://twitter.com/WestWingReport/status/176466509915361280,0,""
The Daily Beast,12,Car Bomb Detonates Near Panetta http://t.co/9smogh9l #cheatsheet,2012-03-14 19:37:16 +0100,http://twitter.com/thedailybeast/status/179999652463124480,0,""
CBS News,7,Panetta visits Afghanistan amid fresh violence http://t.co/npOyZ5oq,2012-03-14 12:37:41 +0100,http://twitter.com/CBSNews/status/179894061879140352,0,""
ABC News,18,"Marines, Afghans Disarmed Before Panetta Appearance http://t.co/kbACB0Sy",2012-03-14 23:21:50 +0100,http://twitter.com/ABC/status/180056168725622785,0,""
msnbc Breaking News,4,LIVE VIDEO: Panetta discusses Pentagon cuts http://t.co/DN2nvo1u,2012-01-26 19:53:03 +0100,http://twitter.com/msnbc_breaking/status/162609007490641920,0,""
Al Jazeera English,15,Panetta visits Afghanistan to ease tensions  http://t.co/bm90CBDQ,2012-03-14 19:40:15 +0100,http://twitter.com/AJEnglish/status/180000403323240448,0,""
msnbc.com,6,LIVE VIDEO: Panetta discusses Pentagon cuts http://t.co/4HPa1xYV,2012-01-26 19:53:04 +0100,http://twitter.com/msnbc/status/162609011244544000,0,""
Democracy Now!,2,"Panetta Touts ""Progress"" During Afghanistan Visit http://t.co/fwCJe122",2012-03-15 16:10:02 +0100,http://twitter.com/democracynow/status/180309889678180352,0,""
jeremy scahill,7,Awkward. DoD email with subject: PANETTA ESCORT,2012-04-10 19:04:29 +0200,http://twitter.com/jeremyscahill/status/189760778302267392,0,""
Peter Hamby,5,Romney jabs Panetta in Vegas http://t.co/nq8mkZmW,2012-02-02 05:02:59 +0100,http://twitter.com/PeterHambyCNN/status/164921731918733312,0,""
Military.com,1,Lawmaker Presses Panetta on US-Afghan Pact: http://t.co/ahtx90jU,2012-04-13 20:31:33 +0200,http://twitter.com/Militarydotcom/status/190869852599238657,0,""
U.S. Pacific Command,2,"Obama, Panetta Praise Military Veterans’ Service http://t.co/xeBjYgHU",2011-11-11 00:51:56 +0100,http://twitter.com/PacificCommand/status/134780360469913601,0,""
U.S. Pacific Command,3,Panetta Lauds Growing U.S.-Indonesia Partnership http://t.co/HmY5Y0rl,2011-10-24 20:40:53 +0200,http://twitter.com/PacificCommand/status/128541486420738048,0,""
Military.com,5,Panetta Announces Another PTSD Review: http://t.co/N8TLJHb1,2012-02-29 20:30:34 +0100,http://twitter.com/Militarydotcom/status/174939638568468480,0,""
Military.com,4,Panetta Apologizes for Quran Burning: http://t.co/yz0aVdpi,2012-02-22 14:01:25 +0100,http://twitter.com/Militarydotcom/status/172304990185070592,0,""
Military.com,2,Panetta Defends Military Budget Plan: http://t.co/xrw5r6io,2012-02-14 14:29:22 +0100,http://twitter.com/Militarydotcom/status/169412921355534336,0,""
Military.com,2,Panetta Reassures Worried About Budget Cuts: http://t.co/XglsPAtH,2011-10-27 13:30:28 +0200,http://twitter.com/Militarydotcom/status/129520332968169473,0,""
Military.com,2,"Panetta Calls NKorea 'Reckless,' Criticizes China: http://t.co/WLXcAGs9",2011-10-24 18:02:08 +0200,http://twitter.com/Militarydotcom/status/128501537331871747,0,""
Military Avenue,1,MilitaryAvenue: Panetta Defends Intelligence Operations http://t.co/vB1Enq3v #SOT,2011-12-14 21:22:49 +0100,http://twitter.com/MilitaryAvenue/status/147048920198029312,0,""
Military.com,2,Panetta to Certify DADT Repeal Today: http://mil-com.me/qQXZTv,2011-07-22 17:01:47 +0200,http://twitter.com/Militarydotcom/status/94421889614741505,0,""
Navy Times (Editor),2,Panetta touts progress made in Afghanistan http://t.co/6PMJ2ogE,2012-03-31 00:39:07 +0200,http://twitter.com/NavyTimes/status/185858723221213185,0,""
Navy Times (Editor),4,Panetta warns against deeper defense cuts http://t.co/IWocl5je,2012-03-02 03:36:02 +0100,http://twitter.com/NavyTimes/status/175409097699639297,0,""
Navy Times (Editor),1,Panetta laments growing Israeli ‘isolation’ http://t.co/tVYhA8jR,2011-12-03 02:09:26 +0100,http://twitter.com/NavyTimes/status/142772395260907520,0,""
Navy Times (Editor),2,Panetta pushes back against detainee provisions http://t.co/LAbLjGMc,2011-11-16 19:10:45 +0100,http://twitter.com/NavyTimes/status/136868823893676033,0,""
Navy Times (Editor),1,Panetta warns Israel against growing isolation http://t.co/OOXQj9PC,2011-10-03 15:08:01 +0200,http://twitter.com/NavyTimes/status/120847572054179840,0,""
Stars and Stripes,2,Panetta defends military budget plan: http://t.co/fiSYJfk4,2012-02-14 04:46:09 +0100,http://twitter.com/starsandstripes/status/169266150323134464,0,""
Navy Times (Editor),1,Panetta raises specter of hollow force http://t.co/b52mNIs,2011-08-16 21:31:54 +0200,http://twitter.com/NavyTimes/status/103549564430196736,0,""
WarOnTerrorNews,1,Panetta Says Nuclear-Armed Iran ‘Unacceptable’ http://t.co/oSkYXXin,2011-12-22 12:52:00 +0100,http://twitter.com/WOTN/status/149819472956502016,0,""
Defense News,10,Panetta Takes F-35B Off &#8216;Probation' http://t.co/t1DizWFu,2012-01-20 23:07:51 +0100,http://twitter.com/defense_news/status/160483704739868674,0,""
Military Times,1,Panetta awaiting plans on Afghan drawdown http://t.co/w02emCLx,2012-03-13 18:11:14 +0100,http://twitter.com/MilitaryTimes/status/179615614594330624,0,""
Military Times,2,Panetta warns against deeper defense cuts http://t.co/ktihrvVs,2012-03-02 03:24:16 +0100,http://twitter.com/MilitaryTimes/status/175406135011065856,0,""
Defense News,3,Panetta Bids To Defuse Egypt-Israel Tensions http://t.co/koG7oVNR,2011-10-04 18:36:28 +0200,http://twitter.com/defense_news/status/121262419749249025,0,""
Military Times,2,Afghan statement on talks pleases Panetta http://t.co/7Cf5hPep,2012-02-17 00:26:25 +0100,http://twitter.com/MilitaryTimes/status/170287947847970816,0,""
Defense News,2,Panetta To Meet With Aerospace Industry http://t.co/FX8808o,2011-09-13 01:08:54 +0200,http://twitter.com/defense_news/status/113388646714978304,0,""
Defense News,4,Panetta Questions Afghan Government's Capabilities http://t.co/g0eDk3M,2011-09-07 15:41:35 +0200,http://twitter.com/defense_news/status/111433935707316224,0,""
Defense News,4,Panetta Raises Specter of Hollow Force http://t.co/mzKh2uU,2011-08-16 21:02:43 +0200,http://twitter.com/defense_news/status/103542218815582209,0,""
Military Times,1,Panetta says military committed to F-35B http://t.co/9i8q9e1b,2012-01-20 22:05:33 +0100,http://twitter.com/MilitaryTimes/status/160468024514719745,0,""
Defense News,1,Panetta Takes Reins as Pentagon Chief http://bit.ly/m5edn9,2011-07-02 02:21:54 +0200,http://twitter.com/defense_news/status/86952704307503104,0,""
Defense News,1,Panetta Will Not Gut Military: Pentagon http://bit.ly/mwApuX,2011-07-01 03:39:40 +0200,http://twitter.com/defense_news/status/86609886305193985,0,""
Defense News,6,Panetta Backs Prompt Global Strike Capability http://bit.ly/kTmWYQ,2011-06-15 03:38:11 +0200,http://twitter.com/defense_news/status/80811304725647360,0,""
Military Times,2,Panetta laments growing Israeli ‘isolation’ http://t.co/AhsQdJkR,2011-12-03 01:43:47 +0100,http://twitter.com/MilitaryTimes/status/142765940533235712,0,""
Military Times,1,Panetta warns Israel against growing isolation http://t.co/JABSPl0l,2011-10-03 15:07:26 +0200,http://twitter.com/MilitaryTimes/status/120847427602354178,0,""
